club_name,league_name
ABC FC,Brazil
AC Barnechea,Chile
AC Bellinzona,Switzerland
AC Horsens,Denmark
AC Horsens,Denmark
AC St. Louis,Usa
ACF Gloria Bistrița,Romania
ACS Poli Timișoara,Romania
ACS Sepsi OSK Sfântu Gheorghe,Romania
AE Larissa FC,Greece
AEK Athens FC,Greece
AEL Kalloni,Greece
AFC Chindia Târgoviște,Romania
AFC Eskilstuna,Sweden
AFC Săgeata Năvodari,Romania
AFC Tubize,Belgium
AGF Aarhus,Denmark
AGF Aarhus,Denmark
AIK Stockholm,Sweden
AOK Kerkyra,Greece
AS Progresul București,Romania
AS Verbroedering Geel,Belgium
ASA Târgu Mureș,Romania
ASC Corona Brașov,Romania
ASC Daco-Getica București,Romania
ASC Oțelul Galați,Romania
ASKÖ Pasching,Austria
Aalborg BK,Denmark
Aalborg BK,Denmark
Aalesunds FK,Norway
Aalesunds FK,Norway
Aberdeen FC,Scotland
Adanaspor,Turkey
Airdrieonians FC,Scotland
Akademisk Boldklub,Denmark
Akademisk Boldklub,Denmark
Akhisar Belediyespor,Turkey
Akratitos FC,Greece
Akropolis IF,Sweden
Akçaabat Sebatspor,Turkey
Alanyaspor,Turkey
Aldosivi,Argentina
Alloa Athletic FC,Scotland
Altay SK,Turkey
América FC (MG),Brazil
América FC (RN),Brazil
Antalyaspor,Turkey
Apollon Pontou FC,Greece
Apollon Smyrni FC,Greece
Arbroath FC,Scotland
Argentinos Jrs.,Argentina
Aris Thessaloniki FC,Greece
Associação Atlética Ponte Preta,Brazil
Associação Chapecoense de Futebol,Brazil
Associação Desportiva Recreativa e Cultural Icasa,Brazil
Associação Portuguesa de Desportos,Brazil
Assyriska FF,Sweden
Asteras Tripoli FC,Greece
Athinaikos FC,Greece
Atlanta Silverbacks FC,Usa
Atlanta United 2,Usa
Atlanta United FC,Usa
Atlante FC,Mexico
Atlético Clube Goianiense,Brazil
Atlético San Luis,Mexico
Atlético Tucumán,Argentina
Atlético de Rafaela,Argentina
Atromitos FC,Greece
Audax Italiano,Chile
Austin Aztex,Usa
Austin Aztex FC,Usa
Austin Bold FC,Usa
Austin FC,Usa
Avaí FC,Brazil
Ayr United FC,Scotland
BB Erzurumspor,Turkey
BFC Siófok,Hungary
BFC Siófok,Hungary
BK Forward,Sweden
BK Häcken,Sweden
BSC Young Boys,Switzerland
BVSC Budapest,Hungary
BVSC Budapest,Hungary
Balmazújvárosi FC,Hungary
Balmazújvárosi FC,Hungary
Balıkesirspor,Turkey
Beerschot AC,Belgium
Besiktas,Turkey
Birmingham Legion FC,Usa
Boa Esporte Clube,Brazil
Boca Juniors,Argentina
Boldklubben Frem,Denmark
Boldklubben Frem,Denmark
Botafogo FC,Brazil
Botafogo de Futebol e Regatas,Brazil
Brasília FC,Brazil
Brechin City FC,Scotland
Bruk-Bet Termalica Nieciecza KS,Polonia
Brusque Futebol Clube,Brazil
Bryne FK,Norway
Bryne FK,Norway
Brøndby IF,Denmark
Brøndby IF,Denmark
Bucaspor,Turkey
Budafoki MTE,Hungary
Budafoki MTE,Hungary
Budapest Honvéd FC,Hungary
Budapest Honvéd FC,Hungary
Bursaspor,Turkey
Békéscsaba 1912 Előre SE,Hungary
Békéscsaba 1912 Előre SE,Hungary
CA Atenas de San Carlos,Uruguay
CA Atenas de San Carlos,Uruguay
CA Banfield,Argentina
CA Boston River,Uruguay
CA Boston River,Uruguay
CA Bragantino,Brazil
CA Cerro,Uruguay
CA Cerro,Uruguay
CA Colón,Argentina
CA Fénix,Uruguay
CA Fénix,Uruguay
CA Huracán,Argentina
CA Independiente,Argentina
CA Juventud de Las Piedras,Uruguay
CA Juventud de Las Piedras,Uruguay
CA Lanús,Argentina
CA Peñarol,Uruguay
CA Peñarol,Uruguay
CA Progreso,Uruguay
CA Progreso,Uruguay
CA Rentistas,Uruguay
CA Rentistas,Uruguay
CA River Plate,Argentina
CA San Lorenzo de Almagro,Argentina
CA Talleres,Argentina
CA Tigre,Argentina
CA Villa Teresa,Uruguay
CA Villa Teresa,Uruguay
CA Vélez Sarsfield,Argentina
CCD El Tanque Sisley,Uruguay
CCD El Tanque Sisley,Uruguay
CD Chivas USA,Usa
CD Guadalajara,Mexico
CD Palestino,Chile
CD Universidad Católica,Chile
CD Universidad de Concepción,Chile
CF Monterrey,Mexico
CF Pachuca,Mexico
CFR Cluj,Romania
CR Brasil,Brazil
CR Flamengo,Brazil
CR Vasco da Gama,Brazil
CS Concordia Chiajna,Romania
CS Gaz Metan Mediaș,Romania
CS Mioveni,Romania
CS Otopeni,Romania
CS Pandurii Târgu Jiu,Romania
CS Turnu Severin,Romania
CSD Villa Española,Uruguay
CSD Villa Española,Uruguay
CSM Ceahlăul Piatra Neamț,Romania
CSM Jiul Petroșani,Romania
CSU Voința Sibiu,Romania
California Victory,Usa
Ceará SC,Brazil
Celtic FC,Scotland
Central Córdoba de Santiago del Estero,Argentina
Centro Sportivo Alagoano,Brazil
Cercle Brugge KSV,Belgium
