Squad,Gender,Comp,From,To,Comps,Champs,Other Names
Aldosivi,M,Argentine Primera División,2015,2021,6,,CA
Argentinos Juniors,M,Argentine Primera División,2015,2021,6,0,AA
Arsenal de Sarandí,M,Argentine Primera División,2014,2021,7,0,Arsenal FC
Atlético de Rafaela,M,,2014,2016-2017,4,,AMSyD
Atlético Tucumán,M,Argentine Primera División,2016,2021,6,0,CA Tucumán
Boca Juniors,M,Argentine Primera División,2014,2021,8,4,CA
CA Banfield,M,Argentine Primera División,2014,2021,8,0,
CA Colón,M,Argentine Primera División,2015,2021,7,0,
CA Huracán,M,Argentine Primera División,2015,2021,7,0,
CA Independiente,M,Argentine Primera División,2014,2021,8,0,
CA Lanús,M,Argentine Primera División,2014,2021,8,1,
CA River Plate,M,Argentine Primera División,2014,2021,8,0,
CA San Lorenzo de Almagro,M,Argentine Primera División,2014,2021,8,0,
CA Talleres,M,Argentine Primera División,2016-2017,2021,5,0,
CA Tigre,M,,2014,2020,6,0,
CA Vélez Sarsfield,M,Argentine Primera División,2014,2021,8,0,
Central Córdoba de Santiago del Estero,M,Argentine Primera División,2019-2020,2021,2,,CA Club Central Córdoba
Chacarita Juniors,M,,2017-2018,2017-2018,1,,CA
Club Atlético Belgrano,M,,2014,2018-2019,6,0,CA Belgrano
Club Atlético Nueva Chicago,M,,2015,2015,1,,CA Nueva Chicago
Club Atlético Patronato,M,Argentine Primera División,2016,2021,6,,CA Patronato
Club Atlético Platense,M,,2021,2021,1,,
Club Atlético Sarmiento,M,,2015,2021,4,,CA Sarmiento de Junín
Club Atlético Temperley,M,,2015,2017-2018,4,,CA Temperley
Club Olimpo,M,,2014,2017-2018,5,,
Crucero del Norte,M,,2015,2015,1,,CM
Defensa y Justicia,M,Argentine Primera División,2014,2021,8,0,CSyD
Estudiantes de La Plata,M,Argentine Primera División,2014,2021,8,0,
Gimnasia y Esgrima,M,Argentine Primera División,2014,2021,8,0,de La PlataGimnasia y Esgrima
Godoy Cruz Antonio Tomba,M,Argentine Primera División,2014,2021,8,0,CD Godoy Cruz Antonio Tomba
Newell's Old Boys,M,Argentine Primera División,2014,2021,8,0,CA
Quilmes AC,M,,2014,2016-2017,4,,
Racing Club,M,Argentine Primera División,2014,2021,8,2,
Rosario Central,M,Argentine Primera División,2014,2021,8,0,CA
San Martín de San Juan,M,,2015,2018-2019,5,,CA
San Martín de Tucumán,M,,2018-2019,2018-2019,1,,CA San Martin de Tucumán
Unión de Santa Fe,M,Argentine Primera División,2015,2021,7,0,CA Unión
