Squad,Gender,Comp,From,To,Comps,Champs,Other Names
ASKÖ Pasching,M,,2003-2004,2006-2007,4,0,
FC Admira Wacker Mödling,M,Austrian Football Bundesliga,1990-1991,2020-2021,13,0,
FC Juniors OÖ,M,,2013-2014,2013-2014,0,,
FC Kärnten,M,,2001-2002,2003-2004,1,0,
FC Linz,M,,1999-2000,1999-2000,0,0,
FC Red Bull Salzburg,M,Austrian Football Bundesliga,1992-1993,2020-2021,18,11,SV Wüstenrot SalzburgSV Casino Salzburg
FC Tirol Innsbruck,M,,1990-1991,2001-2002,0,0,
FC Wacker Innsbruck,M,,2004-2005,2018-2019,9,0,FC Wacker Tirol
FK Austria Wien,M,Austrian Football Bundesliga,1991-1992,2020-2021,18,2,
Grazer AK,M,,1996-1997,2006-2007,4,1,
Kapfenberger SV,M,,2008-2009,2011-2012,4,0,
LASK,M,Austrian Football Bundesliga,2007-2008,2020-2021,8,0,LinzLASK
SC Rheindorf Altach,M,Austrian Football Bundesliga,2006-2007,2020-2021,10,0,
SC Wiener Neustadt,M,,2009-2010,2017-2018,6,0,
Schwarz-Weiß Bregenz,M,,2003-2004,2004-2005,2,0,
SK Austria Kärnten,M,,2007-2008,2009-2010,3,0,
SK Rapid Wien,M,Austrian Football Bundesliga,1990-1991,2020-2021,18,2,
SK Sturm Graz,F,,2016-2017,2019-2020,0,0,
SK Sturm Graz,M,Austrian Football Bundesliga,1991-1992,2020-2021,18,1,
SKN St. Pölten,M,Austrian Football Bundesliga,2014-2015,2020-2021,5,0,
SKN St. Pölten Frauen,F,,2015-2016,2020-2021,0,0,
SV Grödig,M,,2013-2014,2015-2016,3,0,
SV Mattersburg,M,,2003-2004,2019-2020,15,0,
SV Neulengbach,F,,2014-2015,2014-2015,0,0,
SV Ried,M,Austrian Football Bundesliga,2005-2006,2020-2021,13,0,
TSV Hartberg,M,Austrian Football Bundesliga,2018-2019,2020-2021,3,,Fußball
USC Landhaus Wien,F,,2018-2019,2018-2019,0,,
Wolfsberger AC,M,Austrian Football Bundesliga,2012-2013,2020-2021,9,0,
WSG Wattens,M,Austrian Football Bundesliga,2019-2020,2020-2021,2,,
