Squad,Gender,Comp,From,To,Comps,Champs,Other Names
AFC Tubize,M,,2008-2009,2018-2019,6,0,
AS Verbroedering Geel,M,,2014-2015,2015-2016,2,,
Beerschot AC,M,,1991-1992,2012-2013,10,0,KFC Germinal BeerschotFC Germinal Ekeren
Cercle Brugge KSV,M,Belgian First Division A,2003-2004,2020-2021,18,1,
Club Brugge KV,M,Belgian First Division A,1990-1991,2020-2021,18,4,
Club Brugge KV U23,M,Belgian First Division B,2020-2021,2020-2021,1,,
Excel Mouscron,M,Belgian First Division A,2012-2013,2020-2021,7,0,Royal Mouscron-Péruwelz
FCV Dender EH,M,,2007-2008,2008-2009,2,0,
K. Beringen-Heusden-Zolder,M,,2003-2004,2003-2004,1,0,
KAA Gent,M,Belgian First Division A,1991-1992,2020-2021,18,1,
KAS Eupen,M,Belgian First Division A,2009-2010,2020-2021,8,0,
KFC Dessel Sport,M,,2014-2015,2015-2016,2,,
KFC Verbroedering Geel,M,,2005-2006,2005-2006,0,0,
KFC Vigor Wuitens Hamme,M,,2005-2006,2005-2006,0,0,
KFCO Beerschot Wilrijk,M,Belgian First Division A,2017-2018,2020-2021,4,1,
KMSK Deinze,M,Belgian First Division B,2015-2016,2020-2021,2,,
KRC Genk,M,Belgian First Division A,1999-2000,2020-2021,18,2,
KRC Mechelen,M,,2014-2015,2014-2015,1,,
KSK Beveren,M,,2003-2004,2006-2007,4,0,
KSK Heist,M,,2014-2015,2015-2016,2,,
KSV Roeselare,M,,2005-2006,2019-2020,11,0,
KSV Waregem,M,,1993-1994,1993-1994,0,0,
KV Kortrijk,M,Belgian First Division A,2006-2007,2020-2021,13,0,
KV Mechelen,M,Belgian First Division A,1990-1991,2020-2021,14,1,
KV Oostende,M,Belgian First Division A,2004-2005,2020-2021,9,0,
KV Woluwe-Zaventem,M,,2014-2015,2014-2015,1,,
KVC Westerlo,M,Belgian First Division B,2001-2002,2020-2021,16,0,
KVV Coxyde,M,,2015-2016,2015-2016,1,,
Lierse Kempenzonen,M,Belgian First Division B,2020-2021,2020-2021,1,,
Lierse SK,M,,1995-1996,2017-2018,12,0,
Lommel SK,M,Belgian First Division B,2005-2006,2020-2021,6,0,Lommel UnitedKVSK United Overpelt-Lommel
OH Leuven,M,Belgian First Division A,2011-2012,2020-2021,10,0,
R. Charleroi SC,M,Belgian First Division A,1994-1995,2020-2021,17,0,
R.E. Virton,M,,2014-2015,2019-2020,3,,Royal Excelsior Virton
R.F.C. Seraing,M,Belgian First Division B,1994-1995,2020-2021,3,0,FC Seraing
RAA Louviéroise,M,,2003-2004,2005-2006,3,0,
RAEC Mons,M,,2003-2004,2014-2015,9,0,
RE Mouscron,M,,1997-1998,2008-2009,6,0,
Royal Antwerp FC,M,Belgian First Division A,1990-1991,2020-2021,8,1,
Royale Union SG,M,Belgian First Division B,2015-2016,2020-2021,6,1,
RSC Anderlecht,M,Belgian First Division A,1990-1991,2020-2021,18,8,
RSC Anderlecht,F,,2018-2019,2020-2021,0,0,
RWD Molenbeek,M,Belgian First Division B,2020-2021,2020-2021,1,,
RWDM Brussels FC,M,,1996-1997,2007-2008,4,0,
RWS Bruxelles,M,,2012-2013,2015-2016,2,1,Royal White Star BruxellesWS Woluwe
SC Eendracht Aalst,M,,1995-1996,2014-2015,1,0,
Sint-Truidense V.V.,M,Belgian First Division A,2003-2004,2020-2021,15,1,
Sporting Lokeren,M,,2003-2004,2019-2020,17,0,
Standard Fémina de Liège,F,,2014-2015,2017-2018,0,0,Royal Standard de Liège
Standard Liège,M,Belgian First Division A,1992-1993,2020-2021,18,2,
SV Zulte Waregem,M,Belgian First Division A,2005-2006,2020-2021,16,0,
Waasland-Beveren,M,Belgian First Division A,2010-2011,2020-2021,9,0,
