Squad,Gender,Comp,From,To,Comps,Champs,Other Names
ABC FC,M,,2014,2017,3,,
América FC (MG),M,Campeonato Brasileiro Série B,2014,2021,8,1,América FC (MG)
América FC (RN),M,,2014,2014,1,,América FC (RN)
Associação Atlética Ponte Preta,M,Campeonato Brasileiro Série B,2014,2021,8,0,
Associação Chapecoense de Futebol,M,Campeonato Brasileiro Série B,2014,2021,8,0,
Associação Desportiva Recreativa e Cultural Icasa,M,,2014,2014,1,,
Associação Portuguesa de Desportos,M,,2014,2014,1,,
Atlético Clube Goianiense,M,Campeonato Brasileiro Série A,2014,2021,8,1,
Avaí FC,M,Campeonato Brasileiro Série B,2014,2021,8,,
Boa Esporte Clube,M,,2014,2018,4,,
Botafogo de Futebol e Regatas,M,Campeonato Brasileiro Série A,2014,2021,8,1,
Botafogo FC,M,Campeonato Brasileiro Série B,2019,2020,2,,
Brasília FC,M,,2015,2015,0,0,Brasilia FC
Brusque Futebol Clube,M,,2021,2021,1,,
CA Bragantino,M,Campeonato Brasileiro Série A,2014,2021,6,1,
Ceará SC,M,Campeonato Brasileiro Série A,2014,2021,8,0,
Centro Sportivo Alagoano,M,Campeonato Brasileiro Série B,2018,2021,4,,
Club Athletico Paranaense,M,Campeonato Brasileiro Série A,2014,2021,8,0,Clube Atlético Paranaense
Clube Atlético Mineiro,M,Campeonato Brasileiro Série A,2014,2021,8,0,
Clube do Remo,M,,2021,2021,1,,
Clube Náutico Capibaribe,M,Campeonato Brasileiro Série B,2014,2021,6,,
Coritiba FC,M,Campeonato Brasileiro Série A,2014,2021,8,0,
CR Brasil,M,Campeonato Brasileiro Série B,2015,2021,7,,
CR Flamengo,M,Campeonato Brasileiro Série A,2014,2021,8,2,
CR Vasco da Gama,M,Campeonato Brasileiro Série A,2014,2021,8,0,
Criciúma Esporte Clube,M,,2014,2019,6,0,
Cruzeiro Esporte Clube,M,Campeonato Brasileiro Série B,2014,2021,8,1,
Cuiabá Esporte Clube,M,Campeonato Brasileiro Série B,2016,2021,3,0,
Esporte Clube Bahia,M,Campeonato Brasileiro Série A,2014,2021,8,0,
Esporte Clube Juventude,M,Campeonato Brasileiro Série B,2017,2021,4,,
Esporte Clube São Bento,M,,2018,2019,2,,
Esporte Clube Vitória,M,Campeonato Brasileiro Série B,2014,2021,8,0,
Figueirense FC,M,Campeonato Brasileiro Série B,2014,2020,7,0,
Fluminense FC,M,Campeonato Brasileiro Série A,2014,2021,8,0,
Fortaleza Esporte Clube,M,Campeonato Brasileiro Série A,2018,2021,4,1,
Goiás Esporte Clube,M,Campeonato Brasileiro Série A,2014,2021,8,0,
Grêmio Esportivo Brasil,M,Campeonato Brasileiro Série B,2016,2021,6,,
Grêmio Foot-Ball Porto Alegrense,M,Campeonato Brasileiro Série A,2014,2021,8,0,
Guarani FC,M,Campeonato Brasileiro Série B,2017,2021,5,,
Joinville Esporte Clube,M,,2014,2016,3,1,
Londrina Esporte Clube,M,,2016,2021,5,,
Luverdense Esporte Clube,M,,2014,2017,4,,
Macaé Esporte FC,M,,2015,2015,1,,
Mogi Mirim Esporte Clube,M,,2015,2015,1,,
Oeste FC,M,Campeonato Brasileiro Série B,2014,2020,7,,
Operário Ferroviário Esporte Clube,M,Campeonato Brasileiro Série B,2019,2021,3,,
Paraná Clube,M,Campeonato Brasileiro Série B,2014,2020,7,,
Paysandu SC,M,,2015,2018,4,,
Sampaio Corrêa FC,M,Campeonato Brasileiro Série B,2014,2021,6,,
Santa Cruz FC,M,,2014,2017,4,0,
Santos FC,M,Campeonato Brasileiro Série A,2014,2021,8,0,
São Paulo FC,M,Campeonato Brasileiro Série A,2014,2021,8,0,
SC Corinthians Paulista,M,Campeonato Brasileiro Série A,2014,2021,8,2,
Sociedade Esportiva Palmeiras,M,Campeonato Brasileiro Série A,2014,2021,8,2,
Sport Club do Recife,M,Campeonato Brasileiro Série A,2014,2021,8,0,
Sport Club Internacional,M,Campeonato Brasileiro Série A,2014,2021,8,0,
Tupi Esporte Clube,M,,2016,2016,1,,Tupi FC
Vila Nova FC,M,,2014,2021,6,,
