Squad,Gender,Comp,From,To,Comps,Champs,Other Names
AC Barnechea,M,,2014-2015,2014-2015,3,0,
Audax Italiano,M,Chilean Primera División,2014-2015,2021,14,0,CD de la Florida
CD Palestino,M,Chilean Primera División,2014-2015,2021,14,0,
CD Santiago Wanderers,M,Chilean Primera División,2014-2015,2021,12,0,
CD Universidad Católica,M,Chilean Primera División,2014,2021,14,5,
CD Universidad de Concepción,M,,2014-2015,2020,13,0,
Club Universidad de Chile,M,Chilean Primera División,2014,2021,14,2,CF Universidad de Chile
Cobreloa,M,,2014-2015,2014-2015,3,0,CD
Cobresal,M,Chilean Primera División,2014,2021,12,1,CD
Colo-Colo,M,Chilean Primera División,2014-2015,2021,14,2,CSD
Coquimbo Unido,M,,2019,2020,2,0,CD
Curicó Unido,M,Chilean Primera División,2017,2021,5,,CDP Curico Unido
Deportes Antofagasta,M,Chilean Primera División,2014-2015,2021,14,0,CD Antofagasta
Deportes Iquique,M,,2014,2020,13,0,CD Iquique
Deportes La Serena,M,Chilean Primera División,2020,2021,2,,
Deportes Melipilla,M,Chilean Primera División,2021,2021,1,,
Deportes Temuco,M,,2016-2017,2018,5,0,CD Temuco
Everton de Viña del Mar,M,Chilean Primera División,2016-2017,2021,8,0,CD Everton de Vina del Mar
Huachipato,M,Chilean Primera División,2014,2021,14,0,CD
Ñublense,M,Chilean Primera División,2014-2015,2021,4,0,CD
O'Higgins FC,M,Chilean Primera División,2014,2021,14,0,CD O'Higgins
San Luis de Quillota,M,,2015-2016,2018,8,0,CD
San Marcos de Arica,M,,2014-2015,2015-2016,6,0,CDC
Unión Española,M,Chilean Primera División,2014,2021,14,0,
Unión La Calera,M,Chilean Primera División,2014-2015,2021,10,0,CD
