Squad,Gender,Comp,From,To,Comps,Champs,Other Names
Aalborg BK,M,Superliga,1993-1994,2020-2021,18,2,
AC Horsens,M,Superliga,2005-2006,2020-2021,12,0,
AGF Aarhus,M,Superliga,1997-1998,2020-2021,15,0,
Akademisk Boldklub,M,,1999-2000,2003-2004,1,0,AB Copenhagen
Boldklubben Frem,M,,1992-1993,2003-2004,1,0,
Brøndby IF,F,,2014-2015,2020-2021,0,0,
Brøndby IF,M,Superliga,1990-1991,2020-2021,18,1,
DBK Fortuna Hjørring,F,,2014-2015,2020-2021,0,0,
Esbjerg fB,M,,2003-2004,2019-2020,15,0,
FC Copenhagen,M,Superliga,1991-1992,2020-2021,18,10,
FC Helsingør,M,,2016-2017,2017-2018,1,0,
FC Midtjylland,M,Superliga,2001-2002,2020-2021,18,3,
FC Nordsjælland,M,Superliga,2003-2004,2020-2021,18,1,
FC Vestsjælland,M,,2013-2014,2014-2015,2,0,
HB Køge,M,,2009-2010,2011-2012,2,0,
Herfølge Boldklub,M,,2000-2001,2004-2005,2,0,
Hobro IK,M,,2014-2015,2019-2020,5,0,
Ikast FS,M,,1991-1992,1991-1992,0,0,
Lyngby BK,M,Superliga,1992-1993,2020-2021,7,0,
Odense BK,M,Superliga,1990-1991,2020-2021,18,0,
Randers FC,M,Superliga,2004-2005,2020-2021,15,0,
Silkeborg IF,M,,1994-1995,2019-2020,11,0,
SønderjyskE Fodbold,M,Superliga,2005-2006,2020-2021,14,0,
Vejle BK,M,Superliga,1990-1991,2020-2021,4,0,
Vendsyssel FF,M,,2016-2017,2018-2019,1,0,
Viborg FF,M,,2000-2001,2018-2019,8,0,
