Squad,Gender,Comp,From,To,Comps,Champs,Other Names
AE Larissa FC,M,Super League Greece,2005-2006,2020-2021,11,0,
AEK Athens FC,M,Super League Greece,1991-1992,2020-2021,19,1,
AEL Kalloni,M,,2013-2014,2015-2016,3,0,
Akratitos FC,M,,2001-2002,2005-2006,4,0,
Amazones Dramas,F,,2014-2015,2014-2015,0,,AS
AOK Kerkyra,M,,2004-2005,2017-2018,8,0,
Apollon Pontou FC,M,,2002-2003,2007-2008,4,0,Apollon Kalamarias FC
Apollon Smyrni FC,M,Super League Greece,2013-2014,2020-2021,4,0,
Aris Thessaloniki FC,M,Super League Greece,1994-1995,2020-2021,16,0,
Asteras Tripoli FC,M,Super League Greece,2007-2008,2020-2021,14,0,
Athinaikos FC,M,,2000-2001,2000-2001,1,0,
Atromitos FC,M,Super League Greece,2005-2006,2020-2021,15,0,
Chalkidona FC,M,,2003-2004,2004-2005,2,0,
Doxa Drama FC,M,,2011-2012,2011-2012,1,0,
Egaleo FC,M,,2001-2002,2006-2007,6,0,
Elpides Karditsas FC,F,,2018-2019,2018-2019,0,,
Ergotelis FC,M,,2003-2004,2014-2015,9,0,
Ethnikos Asteras FC,M,,2000-2001,2001-2002,2,0,
Ionikos FC,M,,1999-2000,2006-2007,7,0,
Iraklis Thessaloniki FC,M,,1990-1991,2016-2017,13,0,
Kalamata FC,M,,2000-2001,2000-2001,1,0,
Kallithea FC,M,,2002-2003,2005-2006,4,0,
Kavala FC,M,,2009-2010,2010-2011,2,0,
Levadiakos FC,M,,2005-2006,2018-2019,12,0,
Niki Volos FC,M,,2014-2015,2014-2015,1,0,
OFI Crete FC,M,Super League Greece,1993-1994,2020-2021,16,0,
Olympiacos FC,M,Super League Greece,1993-1994,2020-2021,21,16,
Olympiacos Volou 1937 FC,M,,2010-2011,2013-2014,1,0,
Panachaiki FC,M,,2000-2001,2002-2003,3,0,
Panathinaikos FC,M,Super League Greece,1990-1991,2020-2021,21,2,
Panetolikos FC,M,Super League Greece,2011-2012,2020-2021,9,0,
Paniliakos FC,M,,2000-2001,2003-2004,2,0,
Panionios FC,M,,2000-2001,2019-2020,20,0,
Panserraikos FC,M,,2008-2009,2010-2011,2,0,
Panthrakikos FC,M,,2008-2009,2015-2016,6,0,
PAOK FC,M,Super League Greece,1990-1991,2020-2021,21,1,
PAOK WF,F,,2015-2016,2020-2021,0,0,
PAS Giannina,M,Super League Greece,2000-2001,2020-2021,12,0,
PAS Lamia 1964,M,Super League Greece,2017-2018,2020-2021,4,0,
Platanias FC,M,,2012-2013,2018-2019,6,0,
Proodeftiki FC,M,,2002-2003,2003-2004,2,0,
Thrasyvoulos FC,M,,2008-2009,2008-2009,1,0,
Veria FC,M,,2007-2008,2016-2017,6,0,
Volos N.F.C.,M,Super League Greece,2019-2020,2020-2021,2,,Volos NFC
Xanthi FC,M,,2000-2001,2019-2020,20,0,Skoda Xanthi FC
