Squad,Gender,Comp,From,To,Comps,Champs,Other Names
Balmazújvárosi FC,M,,2017-2018,2017-2018,1,0,
Békéscsaba 1912 Előre SE,M,,1994-1995,2015-2016,1,0,
BFC Siófok,M,,2007-2008,2012-2013,5,0,
Budafoki MTE,M,Nemzeti Bajnokság I,2020-2021,2020-2021,1,,
Budapest Honvéd FC,M,Nemzeti Bajnokság I,1991-1992,2020-2021,16,1,
BVSC Budapest,M,,1996-1997,1996-1997,0,,
Debreceni VSC,M,,1999-2000,2019-2020,15,6,
Diósgyőri VTK,M,Nemzeti Bajnokság I,2005-2006,2020-2021,15,0,
Dunaújváros FC,M,,2000-2001,2001-2002,0,0,
Dunaújváros PASE,M,,2014-2015,2014-2015,1,0,
Egri FC,M,,2012-2013,2012-2013,1,0,
FC Sopron,M,,2005-2006,2007-2008,3,0,
FC Tatabánya,M,,2005-2006,2007-2008,3,0,
Ferencvárosi TC,M,Nemzeti Bajnokság I,1990-1991,2020-2021,13,3,
Ferencvárosi TC,F,,2015-2016,2020-2021,0,,
Gyirmót FC Győr,M,,2016-2017,2016-2017,1,0,
Győri ETO FC,M,,2005-2006,2014-2015,10,1,
Kaposvári Rákóczi FC,M,,2005-2006,2019-2020,10,0,
Kecskeméti TE,M,,2008-2009,2014-2015,7,0,
Kisvárda FC,M,Nemzeti Bajnokság I,2018-2019,2020-2021,3,,
Mezőkövesdi SE,M,Nemzeti Bajnokság I,2013-2014,2020-2021,6,0,
MOL Fehérvár FC,M,Nemzeti Bajnokság I,2005-2006,2020-2021,16,3,Videoton FCFC FehérvárMOL Vidi FC
MTK Budapest FC,M,Nemzeti Bajnokság I,1990-1991,2020-2021,13,1,
MTK Hungária FC,F,,2014-2015,2018-2019,0,0,
Nyíregyháza Spartacus FC,M,,2007-2008,2014-2015,4,0,
Paksi FC,M,Nemzeti Bajnokság I,2006-2007,2020-2021,15,0,
Pápai FC,M,,2005-2006,2014-2015,7,0,
Pécsi MFC,M,,1991-1992,2014-2015,6,0,
Puskás Akadémia FC,M,Nemzeti Bajnokság I,2013-2014,2020-2021,7,0,
Rákospalotai EAC,M,,2005-2006,2008-2009,4,0,
Szolnoki MÁV FC,M,,2010-2011,2010-2011,1,0,
Szombathelyi Haladás,M,,2008-2009,2018-2019,11,0,
Újpest FC,M,Nemzeti Bajnokság I,1990-1991,2020-2021,16,0,
Vác FC,M,,1991-1992,2006-2007,1,0,Dunakanyar-Vác FC
Vasas FC,M,,2000-2001,2017-2018,10,0,
Zalaegerszegi TE,M,Nemzeti Bajnokság I,2002-2003,2020-2021,9,0,Zalaegerszegi TE FC
