Squad,Gender,Comp,From,To,Comps,Champs,Other Names
Atlante FC,M,,2003-2004,2013-2014,33,1,
Atlético San Luis,M,Liga MX,2019-2020,2020-2021,4,0,
CD Guadalajara,M,Liga MX,2003-2004,2020-2021,52,2,
CF Monterrey,M,Liga MX,2003-2004,2020-2021,52,5,
CF Pachuca,M,Liga MX,2003-2004,2020-2021,52,5,
Club América,M,Liga MX,2003-2004,2020-2021,52,6,
Club Atlas,M,Liga MX,2003-2004,2020-2021,52,0,
Club León,M,Liga MX,2012-2013,2020-2021,25,3,
Club Necaxa,M,Liga MX,2003-2004,2020-2021,34,0,
Club Puebla,M,Liga MX,2003-2004,2020-2021,46,0,Puebla FC
Club Santos Laguna,M,Liga MX,2003-2004,2020-2021,52,6,
Club Tijuana,M,Liga MX,2011-2012,2020-2021,28,2,
Club Universidad Nacional,M,Liga MX,2003-2004,2020-2021,52,5,
Cruz Azul,M,Liga MX,2003-2004,2020-2021,52,3,
Deportivo Toluca FC,M,Liga MX,2003-2004,2020-2021,52,4,
Dorados de Sinaloa,M,,2004-2005,2015-2016,9,0,
FC Juárez,M,Liga MX,2019-2020,2020-2021,4,0,
Indios de Ciudad Juárez,M,,2008-2009,2009-2010,6,0,
Irapuato FC,M,,2003-2004,2003-2004,3,0,
Jaguares de Chiapas,M,,2003-2004,2016-2017,42,0,
Leones Negros UdeG,M,,2014-2015,2014-2015,3,0,
Lobos de la BUAP,M,,2017-2018,2018-2019,6,0,
Mazatlán FC,M,Liga MX,2020-2021,2020-2021,1,,
Monarcas Morelia,M,,2003-2004,2019-2020,51,1,
Querétaro FC,M,Liga MX,2003-2004,2020-2021,40,0,
San Luis FC,M,,2003-2004,2012-2013,27,0,
Tecos FC,M,,2003-2004,2011-2012,27,0,Universidad Autónoma de GuadalajaraEstudiantes Tecos
Tiburones Rojos de Veracruz,M,,2003-2004,2019-2020,35,0,
Tigres UANL,M,Liga MX,2003-2004,2020-2021,52,5,
