Squad,Gender,Comp,From,To,Comps,Champs,Other Names
Aalesunds FK,M,,2003,2020,14,0,
Arna-Bjørnar,F,Toppserien,2017,2021,5,,
Avaldsnes IL,F,Toppserien,2016-2017,2021,5,0,
Bryne FK,M,,2000,2006,4,0,
FK Bodø/Glimt,M,Eliteserien,1996-1997,2021,15,1,
FK Haugesund,M,Eliteserien,2000,2021,13,0,
FK Jerv,M,,2015,2016,0,0,
FL Fart,F,,2019,2019,1,,
Fredrikstad FK,M,,2004,2012,8,0,
Hamarkameratene,M,,2001,2008,4,0,
Hønefoss BK,M,,2010,2013,3,0,
IF Fløya,F,,2019,2019,0,0,
IK Grand Bodø,F,,2017,2018,2,,
IK Start,M,,2000,2020,14,0,
IL Hødd,M,,2013-2014,2013-2014,0,,
IL Sandviken,F,Toppserien,2017,2021,5,,
Klepp IL,F,Toppserien,2017,2021,5,,
Kongsvinger IL Toppfotball,M,,1993-1994,2010,1,0,
Kristiansund BK,M,Eliteserien,2017,2021,5,0,
Lillestrøm SK,M,Eliteserien,1990-1991,2021,21,0,
LSK Kvinner FK,F,Toppserien,2015-2016,2021,5,3,
Lyn Fotball,M,,2001,2009,9,0,
Lyn Fotball Damer,F,Toppserien,2018,2021,4,0,
Løv-Ham Fotball,M,,2010,2010,0,0,
Medkila IL,F,,2017,2020,1,0,
Mjøndalen IF,M,Eliteserien,2014,2021,4,0,
Molde FK,M,Eliteserien,1996-1997,2021,21,4,
Moss FK,M,,2000,2005,3,0,
Odds BK,M,Eliteserien,2000,2021,21,0,Odd Grenland
Ranheim Fotball,M,,2010,2019,2,0,
Rosenborg BK,M,Eliteserien,1990-1991,2021,22,12,
Røa IL,F,,2017,2020,4,,
Sandefjord Fotball,M,Eliteserien,2002,2021,9,0,
Sandnes Ulf,M,,2012,2014,3,0,
Sarpsborg 08 FF,M,Eliteserien,2009,2021,10,0,
SK Brann,M,Eliteserien,1997-1998,2021,21,1,
SK Trondheims-Ørn,F,Toppserien,2017,2021,5,,
Sogndal Fotball,M,,2000,2020,10,0,
Stabæk Fotball,M,Eliteserien,1999-2000,2021,20,1,
Stabæk Fotball Kvinner,F,Toppserien,2014-2015,2021,4,0,
Strømsgodset Toppfotball,M,Eliteserien,1998-1999,2021,16,1,
Tromsø IL,M,Eliteserien,1991-1992,2021,19,0,
Ullensaker/Kisa IL,M,,2012,2012,0,0,
Vålerenga Fotball,M,Eliteserien,2000,2021,21,1,
Vålerenga Fotball Damer,F,Toppserien,2017,2021,5,1,
Viking FK,M,Eliteserien,1992-1993,2021,21,0,
