Squad,Gender,Comp,From,To,Comps,Champs,Other Names
Bruk-Bet Termalica Nieciecza KS,M,,2015-2016,2017-2018,3,0,Termalica Bruk-Bet Nieciecza KS
Dyskobolia Grodzisk Wielkopolski,M,,2002-2003,2007-2008,6,0,
GKS Bełchatów,M,,2005-2006,2014-2015,9,0,
GKS Górnik Łęczna,M,,2001-2002,2016-2017,7,0,
GKS Katowice,M,,1990-1991,2004-2005,3,0,Dospel Katowice
GKS Piast Gliwice,M,Ekstraklasa,2008-2009,2020-2021,11,1,
Górnik Łęczna,F,,2018-2019,2020-2021,0,0,
Jagiellonia Białystok,M,Ekstraklasa,2005-2006,2020-2021,14,0,
KGHM Zagłębie Lubin,M,Ekstraklasa,1990-1991,2020-2021,16,1,
KKPK Medyk Konin,F,,2014-2015,2017-2018,0,0,
KKS Lech Poznań,M,Ekstraklasa,1990-1991,2020-2021,19,2,
Korona Kielce,M,,2005-2006,2019-2020,14,0,
KS Amica Wronki,M,,1999-2000,2005-2006,4,0,
KS Cracovia,M,Ekstraklasa,2003-2004,2020-2021,16,0,
KS Górnik Polkowice,M,,2003-2004,2003-2004,1,0,
KS Górnik Zabrze,M,Ekstraklasa,1991-1992,2020-2021,17,0,
KS Lechia Gdańsk,M,Ekstraklasa,2008-2009,2020-2021,13,0,
KS Polonia Bytom,M,,2007-2008,2010-2011,4,0,
KS Polonia Warsaw,M,,1998-1999,2012-2013,9,0,
KS Ruch Chorzów,M,,2000-2001,2016-2017,11,0,
KSZO Ostrowiec Świętokrzyski,M,,2001-2002,2002-2003,1,0,
Legia Warsaw,M,Ekstraklasa,1994-1995,2020-2021,19,7,
MKS Arka Gdynia,M,,2005-2006,2019-2020,9,0,
MKS Miedź Legnica,M,,2018-2019,2018-2019,1,,
MKS Pogoń Szczecin,M,Ekstraklasa,2001-2002,2020-2021,13,0,
MKS Sandecja Nowy Sącz,M,,2017-2018,2017-2018,1,0,
MKS Świt Nowy Dwór Mazowiecki,M,,2002-2003,2003-2004,1,0,
Odra Wodzisław Śląski,M,,1997-1998,2009-2010,8,0,
Raków Częstochowa,M,Ekstraklasa,2019-2020,2020-2021,2,,RKS
RKS Radomsko,M,,2001-2002,2001-2002,0,0,
RTS Widzew Łódź,M,,1992-1993,2013-2014,8,0,
SP Zawisza Bydgoszcz,M,,2013-2014,2014-2015,2,0,
Stal Mielec,M,Ekstraklasa,2020-2021,2020-2021,1,,
Szczakowianka Jaworzno,M,,2001-2002,2002-2003,1,0,
TS Podbeskidzie Bielsko-Biała,M,Ekstraklasa,2011-2012,2020-2021,6,0,
Wisła Kraków,M,Ekstraklasa,1998-1999,2020-2021,19,6,
Wisła Płock,M,Ekstraklasa,2002-2003,2020-2021,10,0,
WKS Śląsk Wrocław,M,Ekstraklasa,2008-2009,2020-2021,13,1,
Zagłębie Sosnowiec,M,,2007-2008,2018-2019,2,0,
ŁKS Łódź,M,,1998-1999,2019-2020,5,0,
