Squad,Gender,Comp,From,To,Comps,Champs,Other Names
ACF Gloria Bistrița,M,,1993-1994,2012-2013,6,0,
ACS Poli Timișoara,M,,2013-2014,2017-2018,4,0,
ACS Sepsi OSK Sfântu Gheorghe,M,Liga I,2017-2018,2020-2021,4,0,
AFC Chindia Târgoviște,M,Liga I,2017-2018,2020-2021,2,0,
AFC Săgeata Năvodari,M,,2013-2014,2013-2014,1,0,
AS Progresul București,M,,1996-1997,2006-2007,1,0,FC Naţional București
ASA Târgu Mureș,M,,2010-2011,2016-2017,5,0,FCM Târgu Mureș
ASC Corona Brașov,M,,2013-2014,2013-2014,1,0,
ASC Daco-Getica București,M,,2017-2018,2017-2018,1,0,Juventus București
ASC Oțelul Galați,M,,1997-1998,2014-2015,9,1,FC Oțelul Galați
CFR Cluj,M,Liga I,2006-2007,2020-2021,15,6,
CS Concordia Chiajna,M,,2011-2012,2018-2019,8,0,
CS Gaz Metan Mediaș,M,Liga I,2008-2009,2020-2021,12,0,
CS Mioveni,M,,2007-2008,2019-2020,2,0,CS Dacia Mioveni
CS Otopeni,M,,2008-2009,2008-2009,1,0,
CS Pandurii Târgu Jiu,M,,2006-2007,2016-2017,11,0,
CS Turnu Severin,M,,2012-2013,2012-2013,1,0,
CSM Ceahlăul Piatra Neamț,M,,2006-2007,2014-2015,7,0,FC Ceahlăul Piatra Neamț
CSM Jiul Petroșani,M,,2006-2007,2006-2007,1,0,CS Jiul Petroșani
CSU Voința Sibiu,M,,2011-2012,2011-2012,1,0,
FC Academica Clinceni,M,Liga I,2019-2020,2020-2021,2,,
FC Argeș Pitești,M,Liga I,1998-1999,2020-2021,3,0,
FC Astra Giurgiu,M,Liga I,2009-2010,2020-2021,12,1,FC Astra Ploiești
FC Botoșani,M,Liga I,2013-2014,2020-2021,8,0,
FC Caracal,M,,1992-1993,1992-1993,0,0,
FC Dinamo București,M,Liga I,1990-1991,2020-2021,15,1,
FC Dunărea Călărași,M,,2018-2019,2018-2019,1,,AFC Dunărea 2005 Călăraşi
FC Internațional Curtea de Argeș,M,,2009-2010,2009-2010,1,0,
FC Petrolul Ploiești,M,,1990-1991,2015-2016,5,0,
FC Politehnica Iași,M,,2006-2007,2009-2010,4,0,
FC Politehnica Iași,M,Liga I,2012-2013,2020-2021,8,0,CSM Politehnica IașiCSM Studențesc Iași
FC Politehnica Timișoara,M,,1990-1991,2010-2011,5,0,
FC Rapid București,M,,1993-1994,2014-2015,8,0,
FC Sibiu,M,Liga I,2018-2019,2020-2021,3,0,FC Hermannstadt
FC Sportul Studențesc București,M,,2010-2011,2011-2012,2,0,
FC U Craiova 1948,M,,1991-1992,2010-2011,5,0,FC Universitatea Craiova
FC Unirea Alba Iulia,M,,2009-2010,2009-2010,1,0,
FC Unirea Urziceni,M,,2006-2007,2010-2011,5,1,
FC Universitatea Cluj,M,,2007-2008,2018-2019,6,0,
FC UTA Arad,M,Liga I,2006-2007,2020-2021,3,0,FC UTA Bătrâna Doamnă
FC Vaslui,M,,2006-2007,2013-2014,8,0,
FC Victoria Brăneşti,M,,2010-2011,2010-2011,1,0,
FC Viitorul Constanța,M,Liga I,2012-2013,2020-2021,9,1,
FC Voluntari,M,Liga I,2015-2016,2020-2021,6,0,
FCSB,M,Liga I,1991-1992,2020-2021,15,3,FC Steaua București
FCU Olimpia Cluj,F,,2014-2015,2020-2021,0,0,CFF Olimpia Cluj-Napoca
SCM Gloria Buzău,M,,2007-2008,2008-2009,2,0,FC Gloria Buzău
SR Brașov,M,,2001-2002,2014-2015,7,0,FC Brașov
SSC Farul Constanța,M,,2006-2007,2008-2009,3,0,FC Farul Constanța
U Craiova 1948 CS,M,Liga I,1990-1991,2020-2021,7,0,
