Squad,Gender,Comp,From,To,Comps,Champs,Other Names
Aberdeen FC,M,Scottish Premiership,1991-1992,2020-2021,21,0,
Airdrieonians FC,M,,2008-2009,2012-2013,3,0,Airdrie United FC
Alloa Athletic FC,M,Scottish Championship,2013-2014,2020-2021,6,0,
Arbroath FC,M,Scottish Championship,2019-2020,2020-2021,2,,
Ayr United FC,M,Scottish Championship,2009-2010,2020-2021,6,0,
Brechin City FC,M,,2017-2018,2017-2018,1,0,
Celtic FC,M,Scottish Premiership,1991-1992,2020-2021,21,15,
Clyde FC,M,,2007-2008,2008-2009,2,0,
Cowdenbeath FC,M,,2010-2011,2014-2015,4,0,
Dumbarton FC,M,,2012-2013,2017-2018,6,0,
Dundee FC,M,Scottish Championship,2000-2001,2020-2021,19,1,
Dundee United FC,M,Scottish Premiership,1990-1991,2020-2021,21,1,
Dunfermline Athletic FC,M,Scottish Championship,2000-2001,2020-2021,18,1,
Falkirk FC,M,,2005-2006,2018-2019,14,0,
Glasgow City FC,F,,2014-2015,2020-2021,0,0,
Greenock Morton FC,M,Scottish Championship,2007-2008,2020-2021,13,0,
Gretna FC,M,,2006-2007,2007-2008,1,0,
Hamilton Academical FC,M,Scottish Premiership,2007-2008,2020-2021,14,1,
Heart of Midlothian FC,M,Scottish Championship,1990-1991,2020-2021,21,1,
Hibernian FC,M,Scottish Premiership,1992-1993,2020-2021,21,1,
Hibernian LFC,F,,2016-2017,2019-2020,0,0,
Inverness Caledonian Thistle FC,M,Scottish Championship,2004-2005,2020-2021,17,1,
Kilmarnock FC,M,Scottish Premiership,1998-1999,2020-2021,21,0,
Livingston FC,M,Scottish Premiership,2001-2002,2020-2021,16,0,
Motherwell FC,M,Scottish Premiership,1994-1995,2020-2021,21,0,
Partick Thistle FC,M,,2002-2003,2019-2020,15,1,
Queen of the South FC,M,Scottish Championship,2007-2008,2020-2021,13,0,
Raith Rovers FC,M,Scottish Championship,1995-1996,2020-2021,9,0,
Rangers FC,M,Scottish Premiership,1990-1991,2020-2021,19,6,
Ross County FC,M,Scottish Premiership,2008-2009,2020-2021,13,2,
St Johnstone FC,M,Scottish Premiership,1999-2000,2020-2021,16,1,
St Mirren FC,M,Scottish Premiership,2000-2001,2020-2021,16,1,
Stirling Albion FC,M,,2007-2008,2010-2011,2,0,
