Squad,Gender,Comp,From,To,Comps,Champs,Other Names
FK Banat Zrenjanin,M,,2004-2005,2008-2009,1,0,
FK Bečej,M,,1996-1997,1996-1997,0,,
FK Bežanija,M,,2007-2008,2007-2008,0,,
FK Borac Čačak,M,,2006-2007,2017-2018,8,0,
FK BSK Borča,M,,2009-2010,2012-2013,4,0,
FK Čukarički,M,Serbian SuperLiga,2008-2009,2020-2021,11,0,
FK Dinamo Vranje,M,,2018-2019,2018-2019,1,0,
FK Donji Srem,M,,2012-2013,2014-2015,3,0,
FK Hajduk Kula,M,,2006-2007,2012-2013,5,0,
FK Inđija,M,Serbian SuperLiga,2010-2011,2020-2021,3,0,
FK Jagodina,M,,2008-2009,2015-2016,8,0,
FK Javor Ivanjica,M,Serbian SuperLiga,2008-2009,2020-2021,11,0,
FK Mačva Šabac,M,Serbian SuperLiga,2017-2018,2020-2021,4,0,
FK Metalac Gornji Milanovac,M,Serbian SuperLiga,2009-2010,2020-2021,6,0,
FK Mladi Radnik,M,,2009-2010,2009-2010,1,0,
FK Mladost Lučani,M,Serbian SuperLiga,2014-2015,2020-2021,7,0,
FK Napredak Kruševac,M,Serbian SuperLiga,2000-2001,2020-2021,9,0,
FK Novi Pazar,M,Serbian SuperLiga,2011-2012,2020-2021,7,0,
FK Obilić,M,,1998-1999,2001-2002,0,0,
FK Partizan,M,Serbian SuperLiga,1990-1991,2020-2021,13,7,
FK Proleter Novi Sad,M,Serbian SuperLiga,2018-2019,2020-2021,3,,
FK Rad,M,Serbian SuperLiga,2007-2008,2020-2021,13,0,
FK Radnički 1923,M,,2011-2012,2014-2015,4,0,
FK Radnički Niš,M,Serbian SuperLiga,2012-2013,2020-2021,9,0,
FK Radnik Surdulica,M,Serbian SuperLiga,2015-2016,2020-2021,6,0,
FK Sevojno,M,,2009-2010,2009-2010,0,,
FK Sloboda Užice,M,,2010-2011,2013-2014,4,0,FK Sloboda Point Sevojno
FK Smederevo,M,,2002-2003,2012-2013,4,0,
FK Spartak Subotica,M,Serbian SuperLiga,2009-2010,2020-2021,12,0,FK Spartak Zlatibor Voda
FK Vojvodina,M,Serbian SuperLiga,1996-1997,2020-2021,13,0,
FK Voždovac,M,Serbian SuperLiga,2013-2014,2020-2021,8,0,
FK Železnik,M,,2004-2005,2004-2005,0,,
FK Zemun,M,,2017-2018,2018-2019,2,0,
FK Zlatibor Čajetina,M,Serbian SuperLiga,2020-2021,2020-2021,1,,
OFK Bačka Bačka Palanka,M,Serbian SuperLiga,2016-2017,2020-2021,4,0,
OFK Beograd,M,,2005-2006,2015-2016,8,0,
Red Star Belgrade,M,Serbian SuperLiga,1990-1991,2020-2021,13,5,
TSC Bačka Topola,M,Serbian SuperLiga,2019-2020,2020-2021,2,,FK
ŽFK Spartak Subotica,F,,2014-2015,2020-2021,0,0,
