Squad,Gender,Comp,From,To,Comps,Champs,Other Names
AFC Eskilstuna,M,Superettan,2006,2021,11,0,FC Väsby UnitedAFC United
AIK Fotboll Dam,F,Damallsvenskan,2021,2021,1,,
AIK Stockholm,M,Allsvenskan,1993-1994,2021,20,2,
Akropolis IF,M,Superettan,2015,2021,2,0,
Ängelholms FF,M,,2008,2016,9,0,
Assyriska FF,M,,2004,2016,11,0,
Åtvidabergs FF,M,,2006,2017,12,1,
BK Forward,M,,2012,2012,0,0,
BK Häcken,M,Allsvenskan,2001,2021,18,0,
Dalkurd FF,M,,2013,2020,5,0,
Degerfors IF,M,Allsvenskan,2006,2021,15,0,
Djurgårdens IF,M,Allsvenskan,2001,2021,21,4,
Djurgårdens IF FF,F,Damallsvenskan,2017,2021,5,,
Enköpings SK,M,,2003,2008,3,0,
Eskilstuna United DFF,F,Damallsvenskan,2016-2017,2021,5,0,
Falkenbergs FF,M,Superettan,2006,2021,16,1,
FC Trollhättan,M,,2009,2010,2,0,
GAIS,M,Superettan,1990-1991,2021,16,0,
Gefle IF,M,,2005,2018,14,0,
GIF Sundsvall,M,Superettan,2001,2021,21,0,
Halmstads BK,M,Allsvenskan,1996-1997,2021,21,1,
Hammarby IF,M,Allsvenskan,2001,2021,21,2,
Hammarby IF FF,F,Damallsvenskan,2017,2021,3,,
Helsingborgs IF,M,Superettan,1996-1997,2021,21,2,
Husqvarna FF,M,,2014,2014,1,0,
IF Brommapojkarna,M,,2006,2020,13,1,
IF Elfsborg,M,Allsvenskan,2001,2021,21,2,
IF Limhamn Bunkeflo,M,,2006,2008,2,0,
IF Limhamn Bunkeflo,F,,2017,2019,3,,
IF Sylvia,M,,2007,2011,1,0,
IFK Göteborg,M,Allsvenskan,1991-1992,2021,21,1,
IFK Kalmar,F,,2018,2018,1,,
IFK Norrköping,M,Allsvenskan,1990-1991,2021,18,2,
IFK Värnamo,M,Superettan,2011,2021,9,0,
IK Brage,M,Superettan,2009,2021,8,0,
IK Frej,M,,2014,2019,5,0,
IK Oddevold,M,,2013,2013,0,0,
IK Sirius,M,Allsvenskan,2006,2021,11,1,
IK Uppsala Fotboll,F,,2020,2020,1,,
Jönköpings Södra IF,M,Superettan,2006,2021,16,1,
Kalmar FF,M,Allsvenskan,2002,2021,19,1,
Kopparbergs/Göteborg FC,F,Damallsvenskan,2017,2021,5,1,
Kristianstads DFF,F,Damallsvenskan,2017,2021,5,,
Kungsbacka DFF,F,,2019,2019,1,,
Kvarnsvedens IK,F,,2017,2017,1,,
Landskrona BoIS,M,Superettan,2002,2021,15,0,
Linköpings FC,F,Damallsvenskan,2014-2015,2021,5,1,
Ljungskile SK,M,,2006,2020,12,0,
Lunds BK,M,,2012,2012,0,0,
Malmö FF,M,Allsvenskan,1990-1991,2021,21,7,
Mjällby AIF,M,Allsvenskan,2001,2021,13,2,
Norrby IF,M,Superettan,2016,2021,5,0,
Örebro SK,M,Allsvenskan,1991-1992,2021,20,0,
Örgryte IS,M,Superettan,2000-2001,2021,17,1,
Oskarshamns AIK,M,,2018,2018,0,0,
Östers IF,M,Superettan,1991-1992,2021,13,1,
Östersunds FK,M,Allsvenskan,2013,2021,9,0,
Piteå IF,F,Damallsvenskan,2017,2021,5,1,
Qviding FIF,M,,2006,2011,4,0,
Skövde AIK,M,,2009,2009,0,0,
Syrianska FC,M,,2009,2019,10,1,
Trelleborgs FF,M,Superettan,1994-1995,2021,15,1,
Umeå FC,M,,2006,2020,3,0,
Umeå IK,F,,2020,2020,1,,
Utsiktens BK,M,,2015,2015,1,0,
Varbergs BoIS,M,Allsvenskan,2012,2021,10,0,
Vasalunds IF,M,Superettan,2008,2021,2,0,
Västerås SK,M,Superettan,2011,2021,4,0,
Västra Frölunda IF,M,,2002,2002,0,0,
Växjö DFF,F,Damallsvenskan,2018,2021,4,,
Vittsjö GIK,F,Damallsvenskan,2017,2021,5,,
