Squad,Gender,Comp,From,To,Comps,Champs,Other Names
AC Bellinzona,M,,2006-2007,2010-2011,3,0,
BSC Young Boys,M,Super League,1993-1994,2020-2021,18,2,
FC Aarau,M,,1993-1994,2018-2019,9,0,
FC Basel,M,Super League,2000-2001,2020-2021,18,11,
FC Basel Frauen,F,,2018-2019,2018-2019,0,,
FC Lausanne-Sport,M,Super League,1990-1991,2020-2021,6,0,
FC Lugano,F,,2019-2020,2019-2020,0,0,
FC Lugano,M,Super League,1995-1996,2020-2021,6,0,
FC Luzern,M,Super League,1990-1991,2020-2021,15,0,
FC Schaffhausen,M,,2004-2005,2006-2007,3,0,
FC Sion,M,Super League,1992-1993,2020-2021,15,0,
FC St. Gallen,M,Super League,2000-2001,2020-2021,16,0,
FC Thun,M,,2003-2004,2019-2020,15,0,
FC Wil 1900,M,,2003-2004,2004-2005,1,0,
FC Zürich,M,Super League,1998-1999,2020-2021,17,3,
FC Zürich Frauen,F,,2014-2015,2020-2021,0,0,FC Zürich
Grasshopper Club Zürich,M,,1990-1991,2018-2019,16,0,
Neuchâtel Xamax FCS,M,,1991-1992,2019-2020,10,0,
Servette FC,M,Super League,1993-1994,2020-2021,6,0,
Servette FC Chênois Féminin,F,,2020-2021,2020-2021,0,0,
Yverdon-Sport FC,M,,2005-2006,2005-2006,1,0,
