Squad,Gender,Comp,From,To,Comps,Champs,Other Names
Adanaspor,M,,2002-2003,2016-2017,3,0,
Akçaabat Sebatspor,M,,2003-2004,2004-2005,2,0,
Akhisar Belediyespor,M,,2012-2013,2018-2019,7,0,
Alanyaspor,M,Süper Lig,2016-2017,2020-2021,5,0,
ALG SK,F,,2020-2021,2020-2021,0,,
Altay SK,M,,2002-2003,2002-2003,1,0,
Antalyaspor,M,Süper Lig,2000-2001,2020-2021,14,0,
Ataşehir Belediyespor,F,,2018-2019,2018-2019,0,,
Balıkesirspor,M,,2014-2015,2014-2015,1,0,
BB Erzurumspor,M,Süper Lig,2018-2019,2020-2021,2,,
Beşiktaş JK,M,Süper Lig,1990-1991,2020-2021,20,4,
Beşiktaş JK,F,,2019-2020,2019-2020,0,,
Bucaspor,M,,2010-2011,2010-2011,1,0,
Bursaspor,M,,2001-2002,2018-2019,16,1,
Çaykur Rizespor,M,Süper Lig,2001-2002,2020-2021,13,0,
Denizlispor,M,Süper Lig,2001-2002,2020-2021,11,0,
Diyarbakırspor,M,,2001-2002,2009-2010,6,0,
Elazığspor,M,,2002-2003,2013-2014,4,0,
Eskişehirspor,M,,2008-2009,2015-2016,8,0,
Fenerbahçe SK,M,Süper Lig,1990-1991,2020-2021,20,5,
Galatasaray SK,M,Süper Lig,1992-1993,2020-2021,20,8,
Gaziantep Büyükşehir Belediyespor,M,Süper Lig,2019-2020,2020-2021,2,,Gaziantep FK
Gaziantepspor,M,,2000-2001,2016-2017,16,0,
Gençlerbirliği SK,M,Süper Lig,2001-2002,2020-2021,19,0,
Göztepe SK,M,Süper Lig,2001-2002,2020-2021,6,0,
Hacettepe SK,M,,2007-2008,2008-2009,2,0,
Hatayspor,M,Süper Lig,2020-2021,2020-2021,1,,
İstanbul Başakşehir FK,M,Süper Lig,2007-2008,2020-2021,13,1,İstanbul BB
İstanbulspor,M,,1998-1999,2004-2005,4,0,
Kardemir Karabükspor,M,,2010-2011,2017-2018,7,0,
Kasımpaşa SK,M,Süper Lig,2007-2008,2020-2021,12,0,
Kayseri Erciyesspor,M,,2005-2006,2014-2015,4,0,
Kayserispor,M,Süper Lig,2004-2005,2020-2021,16,0,
Kocaelispor,M,,1993-1994,2008-2009,3,0,
Konak Belediyespor,F,,2014-2015,2017-2018,0,,Konak Belediyespor K
Konyaspor,M,Süper Lig,2003-2004,2020-2021,15,0,Atiker Konyaspor
Malatyaspor,M,,2001-2002,2005-2006,5,0,
Manisaspor,M,,2005-2006,2011-2012,6,0,
Mersin İdmanyurdu,M,,2011-2012,2015-2016,4,0,
MKE Ankaragücü,M,Süper Lig,1999-2000,2020-2021,14,0,
Orduspor,M,,2011-2012,2012-2013,2,0,
Osmanlıspor FK,M,,2004-2005,2017-2018,9,0,Ankaraspor
Sakaryaspor,M,,2004-2005,2006-2007,2,0,
Samsunspor,M,,2001-2002,2011-2012,6,0,
Sivasspor,M,Süper Lig,2005-2006,2020-2021,15,0,
Trabzonspor,M,Süper Lig,1991-1992,2020-2021,20,0,
Yeni Malatyaspor,M,Süper Lig,2017-2018,2020-2021,4,0,
Yimpaş Yozgatspor,M,,2001-2002,2001-2002,1,0,
