Squad,Gender,Comp,From,To,Comps,Champs,Other Names
FC Arsenal Kyiv,M,,2001-2002,2012-2013,10,0,
FC Arsenal-Kyivshchyna Bila Tserkva,M,,2018-2019,2018-2019,1,,FK Arsenal-Kyiv
FC Borysfen Boryspil,M,,2003-2004,2004-2005,2,0,
FC Chornomorets Odesa,M,,1990-1991,2018-2019,15,0,
FC Desna Chernihiv,M,Ukrainian Premier League,2017-2018,2020-2021,3,0,
FC Dnipro,M,,1990-1991,2016-2017,14,0,DnipropetrovskFC Dnipro
FC Dynamo Kyiv,M,Ukrainian Premier League,1991-1992,2020-2021,18,5,
FC Hoverla Uzhhorod,M,,2004-2005,2015-2016,8,0,FC Zakarpattia Uzhhorod
FC Karpaty Lviv,M,,1999-2000,2019-2020,15,0,
FC Kharkiv,M,,2005-2006,2008-2009,4,0,
FC Kolos Kovalivka,M,Ukrainian Premier League,2018-2019,2020-2021,2,0,FK Kolos Kovalivka
FC Kryvbas Kryvyi Rih,M,,1999-2000,2012-2013,10,0,
FC Lviv,M,Ukrainian Premier League,2008-2009,2020-2021,4,0,
FC Mariupol,M,Ukrainian Premier League,2003-2004,2020-2021,15,0,FC Illichivets Mariupol
FC Metalist Kharkiv,M,,2004-2005,2015-2016,12,0,
FC Metalurh Donetsk,M,,2002-2003,2014-2015,12,0,
FC Metalurh Zaporizhya,M,,2002-2003,2015-2016,12,0,
FC Naftovyk-Ukrnafta Okhtyrka,M,,2007-2008,2007-2008,1,0,
FC Obolon-Brovar Kyiv,M,,2003-2004,2011-2012,5,0,FC Obolon Kyiv
FC Oleksandriya,M,Ukrainian Premier League,2011-2012,2020-2021,7,0,PFC Oleksandriya
FC Olimpik Donetsk,M,Ukrainian Premier League,2014-2015,2020-2021,7,0,
FC Poltava,M,,2017-2018,2017-2018,0,0,
FC Sevastopol,M,,2010-2011,2013-2014,2,0,
FC Shakhtar Donetsk,M,Ukrainian Premier League,1994-1995,2020-2021,18,12,
FC Stal Alchevsk,M,,2005-2006,2006-2007,2,0,
FC Stal Kamianske,M,,2015-2016,2017-2018,3,0,FC Stal Dniprodzerzhynsk
FC Volyn Lutsk,M,,2003-2004,2018-2019,10,0,
FC Vorskla Poltava,M,Ukrainian Premier League,1997-1998,2020-2021,18,0,
FC Zirka Kropyvnytskyi,M,,2003-2004,2017-2018,3,0,FC Zirka Kirovohrad
FC Zorya Luhansk,M,Ukrainian Premier League,2006-2007,2020-2021,15,0,
FK Inhulets,M,Ukrainian Premier League,2020-2021,2020-2021,1,,
FK Mynai,M,Ukrainian Premier League,2020-2021,2020-2021,1,,
NK Veres Rivne,M,,2017-2018,2017-2018,1,0,
SC Dnipro-1,M,Ukrainian Premier League,2019-2020,2020-2021,2,,SK Dnipro-1
SC Tavriya Simferopol,M,,1992-1993,2013-2014,11,0,
WFC Zhytlobud-1 Kharkiv,F,,2014-2015,2019-2020,0,0,
WFC Zhytlobud-2 Kharkiv,F,,2017-2018,2020-2021,0,0,
