Squad,Gender,Comp,From,To,Comps,Champs,Other Names
CA Atenas de San Carlos,M,,2014-2015,2018,4,0,
CA Boston River,M,Uruguayan Primera División,2016,2020,5,0,
CA Cerro,M,Uruguayan Primera División,2014-2015,2020,11,0,
CA Fénix,M,Uruguayan Primera División,2014-2015,2021,11,0,
CA Juventud de Las Piedras,M,,2014-2015,2019,9,0,
CA Peñarol,M,Uruguayan Primera División,2014,2021,11,3,
CA Progreso,M,Uruguayan Primera División,2018,2020,3,,
CA Rentistas,M,Uruguayan Primera División,2014,2021,7,0,
CA River Plate,M,Uruguayan Primera División,2014,2020,11,0,
CA Villa Teresa,M,,2015-2016,2015-2016,3,0,
CCD El Tanque Sisley,M,,2014-2015,2018,8,0,
Cerro Largo FC,M,Uruguayan Primera División,2019,2021,2,0,
Club Nacional,M,Uruguayan Primera División,2014,2021,11,4,
Club Plaza Colonia de Deportes,M,Uruguayan Primera División,2015-2016,2020,7,0,
CSD Villa Española,M,,2016,2016,1,,
Danubio FC,M,Uruguayan Primera División,2014,2020,11,0,
Defensor Sporting Club,M,Uruguayan Primera División,2014,2020,11,0,
IA Sud América,M,,2014-2015,2017,8,0,
Liverpool FC,M,Uruguayan Primera División,2015-2016,2021,8,0,
Montevideo City Torque,M,Uruguayan Primera División,2018,2021,2,0,CA Torque
Montevideo Wanderers FC,M,Uruguayan Primera División,2014-2015,2021,11,0,
Racing Club de Montevideo,M,,2014-2015,2019,10,0,
Rampla Juniors FC,M,,2014-2015,2019,7,0,
Tacuarembó FC,M,,2014-2015,2014-2015,3,0,
