Club_name,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
SV Werder Bremen,1.0,8.0,2.0,9.0,8.0,7.0,13.0,9.0,7.0,6.0,6.0,1.0,3.0,2.0,3.0,2.0,10.0,3.0,13.0,9.0,14.0,12.0,10.0,13.0,8.0,11.0,8.0,16.0
Bayern Munich,2.0,1.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Eintracht Frankfurt,3.0,5.0,9.0,17.0,,,15.0,14.0,17.0,,,16.0,,14.0,14.0,9.0,13.0,10.0,17.0,,6.0,13.0,9.0,16.0,11.0,8.0,7.0,9.0
Borussia Dortmund,4.0,4.0,1.0,1.0,3.0,10.0,4.0,11.0,3.0,1.0,3.0,6.0,7.0,7.0,9.0,13.0,6.0,5.0,1.0,1.0,2.0,2.0,7.0,2.0,3.0,4.0,2.0,2.0
Bayer 04 Leverkusen,5.0,3.0,7.0,14.0,2.0,3.0,2.0,2.0,4.0,2.0,15.0,3.0,6.0,5.0,5.0,7.0,9.0,4.0,2.0,5.0,3.0,4.0,4.0,3.0,12.0,5.0,4.0,5.0
Karlsruher SC,6.0,6.0,8.0,7.0,6.0,16.0,,,,,,,,,,11.0,17.0,,,,,,,,,,,
VfB Stuttgart,7.0,7.0,12.0,10.0,4.0,4.0,11.0,8.0,15.0,8.0,2.0,4.0,5.0,9.0,1.0,6.0,3.0,6.0,12.0,6.0,12.0,15.0,14.0,17.0,,7.0,16.0,
1.FC Kaiserslautern,8.0,2.0,4.0,16.0,,1.0,5.0,5.0,8.0,7.0,14.0,15.0,12.0,16.0,,,,,7.0,18.0,,,,,,,,
Borussia Mönchengladbach,9.0,10.0,5.0,4.0,11.0,15.0,18.0,,,12.0,12.0,11.0,15.0,10.0,18.0,,15.0,12.0,16.0,4.0,8.0,6.0,3.0,4.0,9.0,9.0,5.0,4.0
FC Schalke 04,10.0,14.0,11.0,3.0,12.0,5.0,10.0,13.0,2.0,5.0,7.0,7.0,2.0,4.0,2.0,3.0,8.0,2.0,14.0,3.0,4.0,3.0,6.0,5.0,10.0,2.0,14.0,12.0
Hamburger SV,11.0,12.0,13.0,5.0,13.0,9.0,7.0,3.0,13.0,11.0,4.0,8.0,8.0,3.0,7.0,4.0,5.0,7.0,8.0,15.0,7.0,16.0,16.0,10.0,14.0,17.0,,
1. FC Köln,12.0,11.0,10.0,12.0,10.0,17.0,,,10.0,17.0,,18.0,,17.0,,,12.0,13.0,10.0,17.0,,,12.0,9.0,5.0,18.0,,14.0
1.FC Nuremberg,13.0,16.0,,,,,16.0,,,15.0,17.0,,14.0,8.0,6.0,16.0,,16.0,6.0,10.0,10.0,17.0,,,,,18.0,
SG Wattenscheid 09,14.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SG Dynamo Dresden,15.0,13.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,
VfL Bochum,16.0,,16.0,,5.0,12.0,17.0,,18.0,,9.0,5.0,16.0,,8.0,12.0,14.0,17.0,,,,,,,,,,
KFC Uerdingen 05,17.0,,15.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,
MSV Duisburg,,9.0,17.0,,9.0,8.0,8.0,18.0,,,,,,18.0,,18.0,,,,,,,,,,,,
SC Freiburg,,15.0,3.0,11.0,17.0,,12.0,12.0,6.0,16.0,,13.0,18.0,,,,,14.0,9.0,12.0,5.0,14.0,17.0,,7.0,15.0,13.0,8.0
TSV 1860 Munich,,,14.0,8.0,7.0,13.0,9.0,4.0,11.0,9.0,10.0,17.0,,,,,,,,,,,,,,,,
FC Hansa Rostock,,,,6.0,15.0,6.0,14.0,15.0,12.0,14.0,13.0,9.0,17.0,,,17.0,,,,,,,,,,,,
Fortuna Düsseldorf,,,,13.0,16.0,,,,,,,,,,,,,,,,17.0,,,,,,10.0,17.0
FC St. Pauli,,,,15.0,18.0,,,,,18.0,,,,,,,,,18.0,,,,,,,,,
Arminia Bielefeld,,,,,14.0,18.0,,17.0,,,16.0,,13.0,13.0,12.0,15.0,18.0,,,,,,,,,,,
Hertha BSC,,,,,,11.0,3.0,6.0,5.0,4.0,5.0,12.0,4.0,6.0,10.0,10.0,4.0,18.0,,16.0,,11.0,15.0,7.0,6.0,10.0,11.0,10.0
VfL Wolfsburg,,,,,,14.0,6.0,7.0,9.0,10.0,8.0,10.0,9.0,15.0,15.0,5.0,1.0,8.0,15.0,8.0,11.0,5.0,2.0,8.0,16.0,16.0,6.0,7.0
SpVgg Unterhaching,,,,,,,,10.0,16.0,,,,,,,,,,,,,,,,,,,
SSV Ulm 1846,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,
FC Energie Cottbus,,,,,,,,,14.0,13.0,18.0,,,,13.0,14.0,16.0,,,,,,,,,,,
Hannover 96,,,,,,,,,,,11.0,14.0,10.0,12.0,11.0,8.0,11.0,15.0,4.0,7.0,9.0,10.0,13.0,18.0,,13.0,17.0,
1.FSV Mainz 05,,,,,,,,,,,,,11.0,11.0,16.0,,,9.0,5.0,13.0,13.0,7.0,11.0,6.0,15.0,14.0,12.0,13.0
Alemannia Aachen,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,
TSG 1899 Hoffenheim,,,,,,,,,,,,,,,,,7.0,11.0,11.0,11.0,16.0,9.0,8.0,15.0,4.0,3.0,9.0,6.0
FC Augsburg,,,,,,,,,,,,,,,,,,,,14.0,15.0,8.0,5.0,12.0,13.0,12.0,15.0,15.0
SpVgg Greuther Fürth,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,
Eintracht Braunschweig,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,
SC Paderborn 07,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,18.0
FC Ingolstadt 04,,,,,,,,,,,,,,,,,,,,,,,,11.0,17.0,,,
SV Darmstadt 98,,,,,,,,,,,,,,,,,,,,,,,,14.0,18.0,,,
RB Leipzig,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,3.0,3.0
1.FC Union Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
