Club_name,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
FC Barcelona,1.0,1.0,4.0,3.0,2.0,1.0,1.0,2.0,4.0,4.0,6.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
Real Madrid,2.0,4.0,1.0,6.0,1.0,4.0,2.0,5.0,1.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,1.0
Deportivo de La Coruña,3.0,2.0,2.0,9.0,3.0,12.0,6.0,1.0,2.0,2.0,3.0,3.0,8.0,8.0,13.0,9.0,7.0,10.0,18.0,,19.0,,16.0,15.0,16.0,18.0,,
Valencia CF,4.0,7.0,10.0,2.0,10.0,9.0,4.0,3.0,5.0,1.0,5.0,1.0,7.0,3.0,4.0,10.0,6.0,3.0,3.0,3.0,5.0,8.0,4.0,12.0,12.0,4.0,4.0,9.0
CD Tenerife,5.0,10.0,15.0,5.0,9.0,16.0,19.0,,,19.0,,,,,,,,19.0,,,,,,,,,,
Atlético Madrid,6.0,12.0,14.0,1.0,5.0,7.0,13.0,19.0,,,12.0,7.0,11.0,10.0,7.0,4.0,4.0,9.0,7.0,5.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0
Sevilla FC,7.0,6.0,5.0,12.0,20.0,,,20.0,,8.0,10.0,6.0,6.0,5.0,3.0,5.0,3.0,4.0,5.0,9.0,9.0,5.0,5.0,7.0,4.0,7.0,6.0,4.0
Athletic Bilbao,8.0,5.0,8.0,15.0,6.0,2.0,8.0,11.0,12.0,9.0,7.0,5.0,9.0,12.0,17.0,11.0,13.0,8.0,6.0,10.0,12.0,4.0,7.0,5.0,7.0,16.0,8.0,11.0
Real Zaragoza,9.0,3.0,7.0,13.0,14.0,13.0,9.0,4.0,17.0,20.0,,12.0,12.0,11.0,6.0,18.0,,14.0,13.0,16.0,20.0,,,,,,,
CA Osasuna,10.0,18.0,,,,,,,15.0,17.0,11.0,13.0,15.0,4.0,14.0,17.0,15.0,12.0,9.0,7.0,16.0,18.0,,,19.0,,,10.0
Celta de Vigo,11.0,15.0,13.0,11.0,16.0,6.0,5.0,7.0,6.0,5.0,4.0,19.0,,6.0,18.0,,,,,,17.0,9.0,8.0,6.0,13.0,13.0,17.0,17.0
Sporting Gijón,12.0,14.0,18.0,18.0,15.0,20.0,,,,,,,,,,,14.0,15.0,10.0,19.0,,,,17.0,18.0,,,
Real Sociedad,13.0,11.0,11.0,7.0,8.0,3.0,10.0,13.0,13.0,13.0,2.0,15.0,14.0,16.0,19.0,,,,15.0,12.0,4.0,7.0,12.0,9.0,6.0,12.0,9.0,6.0
Rayo Vallecano,14.0,16.0,,19.0,18.0,,,9.0,14.0,11.0,20.0,,,,,,,,,15.0,8.0,12.0,11.0,18.0,,,20.0,
Real Oviedo,15.0,9.0,9.0,14.0,17.0,18.0,14.0,16.0,18.0,,,,,,,,,,,,,,,,,,,
Albacete Balompié,16.0,13.0,17.0,20.0,,,,,,,,14.0,20.0,,,,,,,,,,,,,,,
RCD Espanyol Barcelona,17.0,,6.0,4.0,12.0,10.0,7.0,14.0,9.0,14.0,17.0,16.0,5.0,15.0,11.0,12.0,10.0,11.0,8.0,14.0,13.0,14.0,10.0,13.0,8.0,11.0,7.0,20.0
Cádiz CF,18.0,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,
Burgos CF,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Racing Santander,,8.0,12.0,17.0,13.0,14.0,15.0,15.0,19.0,,16.0,17.0,16.0,17.0,10.0,6.0,12.0,16.0,12.0,20.0,,,,,,,,
Real Valladolid CF,,17.0,19.0,16.0,7.0,11.0,12.0,8.0,16.0,12.0,14.0,18.0,,,,15.0,16.0,18.0,,,14.0,19.0,,,,,16.0,13.0
Real Betis Balompié,,,3.0,8.0,4.0,8.0,11.0,18.0,,6.0,8.0,9.0,4.0,14.0,16.0,13.0,18.0,,,13.0,7.0,20.0,,10.0,15.0,6.0,10.0,15.0
SD Compostela,,,16.0,10.0,11.0,17.0,,,,,,,,,,,,,,,,,,,,,,
CP Mérida (diss.),,,,21.0,,19.0,,,,,,,,,,,,,,,,,,,,,,
UD Salamanca (liq.),,,,22.0,,15.0,20.0,,,,,,,,,,,,,,,,,,,,,
CF Extremadura (diss.),,,,,19.0,,17.0,,,,,,,,,,,,,,,,,,,,,
Hércules CF,,,,,21.0,,,,,,,,,,,,,,19.0,,,,,,,,,
RCD Mallorca,,,,,,5.0,3.0,10.0,3.0,16.0,9.0,11.0,17.0,13.0,12.0,7.0,9.0,5.0,17.0,8.0,18.0,,,,,,,19.0
Deportivo Alavés,,,,,,,16.0,6.0,10.0,7.0,19.0,,,18.0,,,,,,,,,,,9.0,14.0,11.0,16.0
Villarreal CF,,,,,,,18.0,,7.0,15.0,15.0,8.0,3.0,7.0,5.0,2.0,5.0,7.0,4.0,18.0,,6.0,6.0,4.0,5.0,5.0,14.0,5.0
Málaga CF,,,,,,,,12.0,8.0,10.0,13.0,10.0,10.0,20.0,,,8.0,17.0,11.0,4.0,6.0,11.0,9.0,8.0,11.0,20.0,,
CD Numancia,,,,,,,,17.0,20.0,,,,19.0,,,,19.0,,,,,,,,,,,
UD Las Palmas,,,,,,,,,11.0,18.0,,,,,,,,,,,,,,11.0,14.0,19.0,,
Recreativo Huelva,,,,,,,,,,,18.0,,,,8.0,16.0,20.0,,,,,,,,,,,
Real Murcia CF,,,,,,,,,,,,20.0,,,,19.0,,,,,,,,,,,,
Getafe CF,,,,,,,,,,,,,13.0,9.0,9.0,14.0,17.0,6.0,16.0,11.0,10.0,13.0,15.0,19.0,,8.0,5.0,8.0
Levante UD,,,,,,,,,,,,,18.0,,15.0,20.0,,,14.0,6.0,11.0,10.0,14.0,20.0,,15.0,15.0,12.0
Gimnàstic de Tarragona,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,
UD Almería,,,,,,,,,,,,,,,,8.0,11.0,13.0,20.0,,,17.0,19.0,,,,,
Xerez CD,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,
Granada CF,,,,,,,,,,,,,,,,,,,,17.0,15.0,15.0,17.0,16.0,20.0,,,7.0
Elche CF,,,,,,,,,,,,,,,,,,,,,,16.0,13.0,,,,,
SD Eibar,,,,,,,,,,,,,,,,,,,,,,,18.0,14.0,10.0,9.0,12.0,14.0
Córdoba CF,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,
CD Leganés,,,,,,,,,,,,,,,,,,,,,,,,,17.0,17.0,13.0,18.0
Girona FC,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,18.0,
SD Huesca,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,
