Club_name,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AC Milan,1.0,1.0,5.0,1.0,13.0,12.0,1.0,3.0,7.0,4.0,3.0,1.0,2.0,3.0,4.0,6.0,3.0,3.0,1.0,2.0,3.0,11.0,12.0,8.0,6.0,6.0,5.0,6.0
FC Internazionale,2.0,14.0,7.0,9.0,4.0,2.0,10.0,4.0,6.0,3.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,10.0,6.0,9.0,4.0,7.0,4.0,4.0,2.0
AC Parma,3.0,5.0,3.0,7.0,2.0,7.0,5.0,5.0,4.0,10.0,5.0,5.0,18.0,7.0,13.0,21.0,,8.0,13.0,8.0,11.0,7.0,22.0,,,,15.0,13.0
Parma Calcio 1913,4.0,6.0,4.0,8.0,3.0,8.0,6.0,6.0,5.0,11.0,6.0,6.0,19.0,8.0,14.0,22.0,,9.0,14.0,9.0,12.0,8.0,23.0,,,,16.0,14.0
Juventus FC,5.0,2.0,1.0,2.0,1.0,1.0,9.0,2.0,2.0,1.0,1.0,3.0,1.0,22.0,,3.0,2.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SS Lazio,6.0,4.0,2.0,3.0,5.0,9.0,2.0,1.0,3.0,6.0,4.0,7.0,13.0,18.0,3.0,13.0,11.0,14.0,5.0,4.0,8.0,12.0,3.0,9.0,5.0,5.0,9.0,4.0
Cagliari Calcio,7.0,13.0,10.0,12.0,17.0,,15.0,21.0,,,,,12.0,16.0,20.0,15.0,10.0,18.0,16.0,17.0,13.0,19.0,20.0,,13.0,18.0,17.0,17.0
UC Sampdoria,8.0,3.0,9.0,10.0,7.0,11.0,18.0,,,,,9.0,5.0,14.0,10.0,7.0,14.0,4.0,20.0,,16.0,16.0,8.0,17.0,12.0,12.0,10.0,18.0
Atalanta BC,9.0,18.0,,15.0,12.0,18.0,,,8.0,9.0,16.0,,22.0,,9.0,10.0,12.0,20.0,,13.0,17.0,15.0,19.0,15.0,4.0,7.0,3.0,3.0
Torino Calcio,10.0,9.0,13.0,18.0,,,,18.0,,12.0,19.0,,,,18.0,16.0,19.0,,,,18.0,9.0,10.0,13.0,10.0,10.0,7.0,19.0
Torino FC,11.0,10.0,14.0,19.0,,,,19.0,,13.0,20.0,,,,19.0,17.0,20.0,,,,19.0,10.0,11.0,14.0,11.0,11.0,8.0,20.0
AS Roma,12.0,8.0,6.0,6.0,14.0,4.0,7.0,7.0,1.0,2.0,9.0,2.0,8.0,2.0,2.0,2.0,7.0,2.0,6.0,7.0,7.0,2.0,2.0,3.0,2.0,3.0,6.0,5.0
SSC Napoli,13.0,7.0,8.0,14.0,15.0,20.0,,,20.0,,,,,,,9.0,13.0,6.0,3.0,5.0,2.0,3.0,6.0,2.0,3.0,2.0,2.0,7.0
Genoa CFC,14.0,12.0,18.0,,,,,,,,,,,,,11.0,6.0,10.0,11.0,19.0,20.0,18.0,7.0,12.0,18.0,14.0,20.0,21.0
Udinese Calcio,15.0,17.0,,13.0,6.0,3.0,8.0,10.0,14.0,16.0,7.0,8.0,4.0,13.0,11.0,8.0,8.0,17.0,4.0,3.0,6.0,17.0,18.0,19.0,15.0,16.0,13.0,16.0
Brescia Calcio,16.0,,20.0,,,17.0,,,9.0,15.0,10.0,12.0,21.0,,,,,,21.0,,,,,,,,,23.0
AC Fiorentina,17.0,,11.0,4.0,10.0,5.0,3.0,8.0,10.0,19.0,,,16.0,10.0,6.0,4.0,4.0,12.0,9.0,14.0,4.0,4.0,4.0,5.0,8.0,8.0,18.0,11.0
ACF Fiorentina,18.0,,12.0,5.0,11.0,6.0,4.0,9.0,11.0,20.0,,,17.0,11.0,7.0,5.0,5.0,13.0,10.0,15.0,5.0,5.0,5.0,6.0,9.0,9.0,19.0,12.0
Ancona Calcio,19.0,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,
Delfino Pescara 1936,20.0,,,,,,,,,,,,,,,,,,,,23.0,,,,22.0,,,
US Cremonese,,11.0,16.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,
AC Reggiana,,15.0,19.0,,21.0,,,,,,,,,,,,,,,,,,,,,,,
Piacenza FC,,16.0,,16.0,16.0,14.0,14.0,22.0,,14.0,17.0,,,,,,,,,,,,,,,,,
US Lecce,,19.0,,,,19.0,,16.0,15.0,18.0,,11.0,11.0,20.0,,,22.0,,19.0,20.0,,,,,,,,22.0
AS Bari,,,15.0,17.0,,13.0,12.0,17.0,21.0,,,,,,,,,11.0,22.0,,,,,,,,,
Calcio Padova,,,17.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,
Vicenza Calcio,,,,11.0,9.0,16.0,19.0,,19.0,,,,,,,,,,,,,,,,,,,
Bologna FC 1909,,,,,8.0,10.0,11.0,14.0,12.0,7.0,12.0,13.0,20.0,,,,18.0,19.0,18.0,10.0,15.0,22.0,,16.0,17.0,17.0,11.0,15.0
AC Perugia,,,,,18.0,,16.0,13.0,13.0,8.0,11.0,16.0,,,,,,,,,,,,,,,,
Chievo Verona,,,,,19.0,,,11.0,16.0,5.0,8.0,10.0,15.0,4.0,21.0,,17.0,16.0,12.0,11.0,14.0,13.0,15.0,10.0,16.0,15.0,23.0,9.0
Hellas Verona,,,,,20.0,,,12.0,17.0,17.0,,,,,,,,,,,,14.0,16.0,22.0,,21.0,,10.0
FC Empoli,,,,,,15.0,20.0,,,,14.0,18.0,,9.0,8.0,20.0,,,,,,,17.0,11.0,20.0,,21.0,
AC Venezia 1907,,,,,,,13.0,20.0,,21.0,,,,,,,,,,,,,,,,,,
US Salernitana,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,
Reggina Calcio,,,,,,,,15.0,18.0,,15.0,14.0,10.0,15.0,16.0,18.0,21.0,,,,,,,,,,,
Modena FC,,,,,,,,,,,13.0,17.0,,,,,,,,,,,,,,,,
Como Calcio,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,
AC Siena,,,,,,,,,,,,15.0,14.0,17.0,17.0,14.0,15.0,21.0,,16.0,22.0,,,,,,,
US Palermo,,,,,,,,,,,,,6.0,5.0,5.0,12.0,9.0,5.0,8.0,18.0,21.0,,13.0,18.0,21.0,,,
FC Messina Peloro,,,,,,,,,,,,,7.0,19.0,23.0,,,,,,,,,,,,,
AS Livorno,,,,,,,,,,,,,9.0,6.0,12.0,23.0,,22.0,,,,23.0,,,,,,
Ascoli Calcio 1898,,,,,,,,,,,,,,12.0,22.0,,,,,,,,,,,,,
ACD Treviso,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,
Calcio Catania,,,,,,,,,,,,,,,15.0,19.0,16.0,15.0,15.0,12.0,9.0,21.0,,,,,,
AC Cesena,,,,,,,,,,,,,,,,,,,17.0,22.0,,,21.0,,,,,
Novara Calcio 1908,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,
US Sassuolo,,,,,,,,,,,,,,,,,,,,,,20.0,14.0,7.0,14.0,13.0,12.0,8.0
Carpi FC 1909,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,
Frosinone Calcio,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,22.0,
FC Crotone,,,,,,,,,,,,,,,,,,,,,,,,,19.0,20.0,,
SPAL,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,14.0,24.0
Benevento Calcio,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,
