node,club_name,league_name
1,1. FC Köln,1 Bundesliga
2,Burgos CF,Primera Division
3,Borussia Dortmund,1 Bundesliga
4,Eintracht Frankfurt,1 Bundesliga
5,SV Werder Bremen,1 Bundesliga
6,Real Madrid,Primera Division
7,Celta de Vigo,Primera Division
8,Deportivo de La Coruña,Primera Division
9,Bayern Munich,1 Bundesliga
10,Karlsruher SC,1 Bundesliga
11,VfB Stuttgart,1 Bundesliga
12,Hamburger SV,1 Bundesliga
13,1.FC Nuremberg,1 Bundesliga
14,1.FC Kaiserslautern,1 Bundesliga
15,Bayer 04 Leverkusen,1 Bundesliga
16,Feyenoord Rotterdam,Eredivisie
17,PSV Eindhoven,Eredivisie
18,Cambuur-Leeuwarden bvo,Eredivisie
19,Ajax Amsterdam,Eredivisie
20,Twente Enschede FC,Eredivisie
21,FC Groningen,Eredivisie
22,Roda JC Kerkrade,Eredivisie
23,FC Barcelona,Primera Division
24,Sparta Rotterdam,Eredivisie
25,AJ Auxerre,Ligue 1
26,RC Strasbourg Alsace,Ligue 1
27,AS Monaco,Ligue 1
28,Paris Saint-Germain,Ligue 1
29,FC Girondins Bordeaux,Ligue 1
30,Bayer 05 Uerdingen,1 Bundesliga
31,1.FC Saarbrücken,1 Bundesliga
32,SL Benfica,Liga Nos
33,Norwich City,Premier League
34,Oldham Athletic,Premier League
35,Middlesbrough FC,Premier League
36,Brescia Calcio,Serie A
37,FC Internazionale,Serie A
38,AS Roma,Serie A
39,Aston Villa,Premier League
40,Leeds United,Premier League
41,Chelsea FC,Premier League
42,Southampton FC,Premier League
43,Sheffield United,Premier League
44,Manchester City,Premier League
45,Coventry City,Premier League
46,Manchester United,Premier League
47,Sheffield Wednesday,Premier League
48,Wimbledon FC,Premier League
49,Ipswich Town,Premier League
50,Arsenal FC,Premier League
51,Crystal Palace,Premier League
52,Nottingham Forest,Premier League
53,Ancona Calcio,Serie A
54,Cagliari Calcio,Serie A
55,Atalanta BC,Serie A
56,UC Sampdoria,Serie A
57,Milan AC,Serie A
58,SS Lazio,Serie A
59,Udinese Calcio,Serie A
60,Juventus FC,Serie A
61,AC Fiorentina,Serie A
62,Tottenham Hotspur,Premier League
63,Blackburn Rovers,Premier League
64,Queens Park Rangers,Premier League
65,Liverpool FC,Premier League
66,Everton FC,Premier League
67,AC Parma,Serie A
68,Swindon Town,Premier League
69,West Ham United,Premier League
70,Newcastle United,Premier League
71,Piacenza FC,Serie A
72,Racing Santander,Primera Division
73,Borussia Mönchengladbach,1 Bundesliga
74,VfB Leipzig,1 Bundesliga
75,SG Dynamo Dresden,1 Bundesliga
76,SC Freiburg,1 Bundesliga
77,Valencia CF,Primera Division
78,SG Wattenscheid 09,1 Bundesliga
79,MSV Duisburg,1 Bundesliga
80,FC Schalke 04,1 Bundesliga
