node,club_name,league_name
1,Real Oviedo,Primera Division
2,Real Madrid,Primera Division
3,Deportivo de La Coruña,Primera Division
4,Rayo Vallecano,Primera Division
5,UE Lleida (liq.),Primera Division
6,Sevilla FC,Primera Division
7,FC Girondins Bordeaux,Ligue 1
8,Athletic Bilbao,Primera Division
9,CD Logroñés (liq.),Primera Division
10,RCD Espanyol Barcelona,Primera Division
11,Valencia CF,Primera Division
12,Southampton FC,Premier League
13,AC Parma,Serie A
14,Feyenoord Rotterdam,Eredivisie
15,CP Mérida (diss.),Primera Division
16,Real Betis Balompié,Primera Division
17,Sporting Gijón,Primera Division
18,Albacete Balompié,Primera Division
19,CD Tenerife,Primera Division
20,Manchester United,Premier League
21,Olympique Marseille,Ligue 1
22,Boavista FC,Liga Nos
23,1. FC Köln,1 Bundesliga
24,FC Internazionale,Serie A
25,Deportivo Alavés,Primera Division
26,Chelsea FC,Premier League
27,SS Lazio,Serie A
28,Celta de Vigo,Primera Division
29,Olympique Lyon,Ligue 1
30,Málaga CF,Primera Division
31,Fortuna Sittard,Eredivisie
32,Paris Saint-Germain,Ligue 1
33,SL Benfica,Liga Nos
34,Villarreal CF,Primera Division
35,Sporting CP,Liga Nos
36,Arsenal FC,Premier League
37,Liverpool FC,Premier League
38,FC Porto,Liga Nos
39,Portsmouth FC,Premier League
40,Middlesbrough FC,Premier League
41,Real Zaragoza,Primera Division
42,Bayern Munich,1 Bundesliga
43,RCD Mallorca,Primera Division
44,FK Moskau,Premier Liga
45,AS Roma,Serie A
46,Atlético Madrid,Primera Division
47,Ajax Amsterdam,Eredivisie
48,CD Numancia,Primera Division
49,Bayer 04 Leverkusen,1 Bundesliga
50,Tottenham Hotspur,Premier League
51,AC Milan,Serie A
52,AS Monaco,Ligue 1
53,VfB Stuttgart,1 Bundesliga
54,Juventus FC,Serie A
55,UD Almería,Primera Division
56,Manchester City,Premier League
57,Birmingham City,Premier League
58,Blackburn Rovers,Premier League
59,VfL Wolfsburg,1 Bundesliga
60,FC Schalke 04,1 Bundesliga
61,Elche CF,Primera Division
62,US Sassuolo,Serie A
63,SD Eibar,Primera Division
64,Stoke City,Premier League
65,Aston Villa,Premier League
66,Everton FC,Premier League
67,ACF Fiorentina,Serie A
68,Hamburger SV,1 Bundesliga
69,Borussia Dortmund,1 Bundesliga
70,Watford FC,Premier League
71,Hellas Verona,Serie A
72,Girona FC,Primera Division
73,CD Leganés,Primera Division
74,AS Saint-Étienne,Ligue 1
75,Zenit St. Petersburg,Premier Liga
76,CA Osasuna,Primera Division
77,Wolverhampton Wanderers,Premier League
78,SC Braga,Liga Nos
79,FC Famalicão,Liga Nos
80,Getafe CF,Primera Division
81,Cádiz CF,Primera Division
82,FC Barcelona,Primera Division
83,Karlsruher SC,1 Bundesliga
84,AS Cannes,Ligue 1
85,Vitesse Arnhem,Eredivisie
86,Derby County,Premier League
87,Gil Vicente FC,Liga Nos
88,Eintracht Frankfurt,1 Bundesliga
89,AC Perugia,Serie A
90,Sheffield Wednesday,Premier League
91,Reading FC,Premier League
92,Reggina Calcio,Serie A
93,Udinese Calcio,Serie A
94,União de Leiria,Liga Nos
95,Tom Tomsk,Premier Liga
96,Saturn Ramenskoe,Premier Liga
97,FK Khimki,Premier Liga
98,Luch Vladivostok,Premier Liga
99,CD Nacional,Liga Nos
100,Cagliari Calcio,Serie A
101,Lokomotiv Moscow,Premier Liga
102,Delfino Pescara 1936,Serie A
103,SSC Napoli,Serie A
104,Rubin Kazan,Premier Liga
105,UC Sampdoria,Serie A
106,GD Chaves,Liga Nos
