Club Name,Latitude,Longitude
Real Oviedo,37.8186509,-3.6228317
Real Madrid,40.4167047,-3.7035825
Deportivo de La Coruña,43.4819412,-8.192607709697867
Rayo Vallecano,40.377091050000004,-3.6140329350855245
UE Lleida (liq.),41.6147605,0.6267842
Sevilla FC,37.330458699999994,-5.831198728866945
FC Girondins Bordeaux,44.875437500000004,-0.6708793480998616
Athletic Bilbao,43.2625346,-2.9466836
CD Logroñés (liq.),42.4512556,-2.4554232
RCD Espanyol Barcelona,41.4265307,2.213422533436816
Valencia CF,39.4690398,-0.3766507
Southampton FC,50.88877075,-1.46129908153644
AC Parma,44.8013678,10.3280833
Feyenoord Rotterdam,51.8957409,4.5242452
CP Mérida (diss.),38.9174665,-6.3443977
Real Betis Balompié,37.308368349999995,-5.948074387220609
Sporting Gijón,43.5359359,-5.6623714
Albacete Balompié,38.9821916,-1.8585481
CD Tenerife,28.2935785,-16.621447121144122
Manchester United,53.4649481,-2.2906349
Olympique Marseille,43.2907408,5.3792392
Boavista FC,38.720324,-27.0632532
1. FC Köln,50.938361,6.959974
FC Internazionale,45.4668,9.1905
Deportivo Alavés,42.8466909,-2.6728083
Chelsea FC,51.5073219,-0.1276474
SS Lazio,41.8933203,12.4829321
Celta de Vigo,42.2127744,-8.7372567
Olympique Lyon,45.7616226,4.985105
Málaga CF,36.7213028,-4.4216366
Fortuna Sittard,50.991989649999994,5.84361075703813
Paris Saint-Germain,48.8497218,2.3505438
SL Benfica,38.7523816,-9.1830994
Villarreal CF,39.9372616,-0.1004465
Sporting CP,53.1905082,-1.174663036028258
Arsenal FC,51.5073219,-0.1276474
Liverpool FC,53.4071991,-2.99168
FC Porto,41.1611197,-8.5823857
Portsmouth FC,50.8036831,-1.075614
Middlesbrough FC,54.5791464,-1.2345092
Real Zaragoza,41.8153219,-1.2132175
Bayern Munich,48.1371079,11.5753822
RCD Mallorca,39.5698125,2.6494242
FK Moskau,55.7067586,37.6586238
AS Roma,41.8933203,12.4829321
Atlético Madrid,40.3756938,-3.7422328
Ajax Amsterdam,52.3121097,4.9309435
CD Numancia,-34.6111693,-58.4327273
Bayer 04 Leverkusen,51.0222804,6.9885981
Tottenham Hotspur,51.60425835,-0.0661891
AC Milan,45.4668,9.1905
AS Monaco,43.73844905,7.424224092532953
VfB Stuttgart,48.8021332,9.2178265
Juventus FC,45.0677551,7.6824892
UD Almería,36.8414197,-2.4628135
Manchester City,53.48444404999999,-2.233399876786019
Birmingham City,52.4796992,-1.9026911
Blackburn Rovers,53.82810965,-2.458500225885032
VfL Wolfsburg,52.425327749999994,10.800167810739886
FC Schalke 04,51.4590087,7.0058295
Elche CF,38.2653307,-0.6988391
US Sassuolo,44.5409769,10.7829023
SD Eibar,43.1871069,-2.4656681
Stoke City,53.0162014,-2.1812607
Aston Villa,52.4796992,-1.9026911
Everton FC,53.4299288,-2.9618289
ACF Fiorentina,43.7698712,11.2555757
Hamburger SV,50.93944655,10.990836437248923
Borussia Dortmund,51.4772242,7.3731941
Watford FC,51.6570048,-0.4183683
Hellas Verona,45.4400499,10.9932788
Girona FC,41.86114585,2.7562874639992625
CD Leganés,40.3281942,-3.76527
AS Saint-Étienne,42.6721295,2.61944865957447
Zenit St. Petersburg,59.938732,30.316229
CA Osasuna,-51.9559266,-69.8912325
Wolverhampton Wanderers,52.568304,-2.1270239
SC Braga,-28.2216586,-49.288817
FC Famalicão,41.405509,-8.5294039
Getafe CF,40.3241172,-3.7109637555641455
Cádiz CF,36.5297438,-6.2928976
FC Barcelona,41.38039,2.1206365
Karlsruher SC,49.0178948,8.4115659
AS Cannes,-37.8294873,-57.5070515
Vitesse Arnhem,52.00993,5.8175382
Derby County,52.88570555,-1.4855140499999973
Gil Vicente FC,41.5314496,-8.6192306
Eintracht Frankfurt,50.066412299999996,8.649214746269115
AC Perugia,43.1038341,12.375578
Sheffield Wednesday,53.410927,-1.5012373
Reading FC,51.4230023,-0.9835677
Reggina Calcio,38.1035389,15.6397556
Udinese Calcio,46.0809238,13.1985844
União de Leiria,39.737240549999996,-8.80732295487287
Tom Tomsk,56.488712,84.952324
Saturn Ramenskoe,55.57761429999999,38.22701411939656
FK Khimki,55.8892847,37.4449896
Luch Vladivostok,43.15784805,131.93716872065897
CD Nacional,32.6496497,-16.9086783
Cagliari Calcio,39.2150503,9.1051687
Lokomotiv Moscow,55.803621,37.7459602
Delfino Pescara 1936,42.4646209,14.1908465
SSC Napoli,40.8576982,14.283053
Rubin Kazan,55.849288,49.086404928881535
UC Sampdoria,44.40726,8.9338624
GD Chaves,41.7399453,-7.471477
Rio Ave FC,41.3580981,-8.7475631
Akhmat Grozny,43.32320515,45.74525857729586
LOSC Lille,50.6365654,3.0635282
Spezia Calcio,44.10111705,9.807986314744142
SG Dynamo Dresden,51.07315505,13.711727525776993
Borussia Mönchengladbach,51.174624949999995,6.385409367871812
SV Werder Bremen,53.0670401,8.8387821
FC Metz,49.0812889,6.137621982487078
Shinnik Yaroslavl,57.63009925,39.868196257483646
Arminia Bielefeld,52.0313975,8.5171453
SC Freiburg,47.9889841,7.89220948446976
Real Valladolid CF,41.6508667,-4.729126
Racing Santander,43.475143349999996,-3.7916030734179778
US Lecce,40.152217300000004,18.2260628338229
Sunderland AFC,51.598085749999996,-0.01522779999999906
AC Venezia 1907,45.4371908,12.3345898
AS Livorno,42.79021905,10.340281392353766
Recreativo Huelva,37.3088792,-6.880845932799592
Genoa CFC,44.428096100000005,8.823820577420218
Xerez CD,-34.6403711,-58.5661074
Swansea City,51.6195955,-3.9459248
Spartak Moscow,55.81758845,37.44061063055868
Real Sociedad,43.307890400000005,-1.9742816856871923
PSV Eindhoven,51.4429685,5.4673877
Brighton & Hove Albion,50.82801135,-0.13340339912469973
Torino FC,44.9779934,7.6151806
Levante UD,8.2889473,-62.7309301
Leeds United,53.7775241,-1.5704677223479215
Leicester City,52.6232734,-1.1350487
CSKA Moscow,55.786561,37.5332007
West Bromwich Albion,52.517483,-2.0228242
Torpedo-ZiL Moskau,55.7504461,37.6174943
Kuban Krasnodar,44.94052205,41.24999967669057
Wigan Athletic,53.56376765,-2.6697897456986572
Blackpool FC,53.77493495,-3.047551917868039
1.FSV Mainz 05,50.000712199999995,8.245586475036514
Burgos CF,42.343926,-3.696977
Brescia Calcio,45.5986504,9.8839245
SD Compostela,42.8878813,-8.514676
Vitória Setúbal FC,-20.3012452,-40.306504
CF Estrela Amadora SAD,38.7595162,-9.223677009460125
AC Fiorentina,43.7698712,11.2555757
Milan AC,45.4668,9.1905
