node,club_name
0,1. FC Brno
1,1. FC Köln
2,1.FC Heidenheim
3,1.FC Kaiserslautern
4,1.FC Köln U19
5,1.FC Magdeburg
6,1.FC Nuremberg
7,1.FC Saarbrücken
8,1.FC Union Berlin
9,1.FSV Mainz 05
10,1.SC Feucht
11,1º de Agosto
12,A. Aachen II
13,A. Malagueño
14,A.I.S.
15,AA La Louviere
16,AC Ajaccio
17,AC Arles
18,AC Bellinzona
19,AC Cesena
20,AC Fiorentina
21,AC Horsens
22,AC Le Havre
23,AC Merlan Lome
24,AC Milan
25,AC Montichiari
26,AC Parma
27,AC Perugia
28,AC Pisa
29,AC Reggiana
30,AC Siena
31,AC Venezia 1907
32,ACD Treviso
33,ACF Fiorentina
34,AD Limonense
35,ADO Den Haag
36,AE Larisa
37,AEK Athens
38,AFC Bournemouth
39,AFC Wimbledon
40,AGOVV Apeldoorn
41,AIK
42,AJ Auxerre
43,AO Egaleo
44,APOEL Nicosia
45,AS Avellino
46,AS Bamako
47,AS Bari
48,AS Cannes
49,AS Gubbio
50,AS Livorno
51,AS Monaco
52,AS Nancy-Lorraine
53,AS Pescina
54,AS Red Star 93
55,AS Roma
56,AS Saint-Étienne
57,AS Trencin
58,AS Vita Club
59,ASEC Mimosas
60,ASO Chlef
61,AZ Alkmaar
62,Aalborg BK
63,Aalesund
64,Aarhus GF
65,Aberdeen FC
66,Académica Coimbra
67,Académico Viseu
68,Accrington
69,Adelaide United
70,Admira Wacker
71,Admira/Wacker
72,Ahli
73,Ajax Amsterdam
74,Ajax Cape Town
75,Akad. Togliatti
76,Akademisk BK
77,Akhisar Belediye
78,Akhmat Grozny
79,Al-Ahli (UAE)
80,Al-Ahli SC
81,Al-Ain FC
82,Al-Arabi SC
83,Al-Duhail SC
84,Al-Jamahiriyah
85,Al-Jazira
86,Al-Rayyan SC
87,Al-Sadd SC
88,Al-Shorta SC
89,Al-Wasl
90,Alanyaspor
91,Albacete Balompié
92,Albirex Niigata
93,Alcorcón
94,Aldershot Town
95,Alem. Aachen
96,Alemannia Aachen
97,Alessandria
98,Alianza FC
99,Alianza Lima
100,Almere City
101,Altay SK
102,Altinordu
103,Altrincham
104,Ambrosiana
105,Amica Wronki
106,Amiens SC
107,Amkar Perm
108,América-MG
109,Ancona Calcio
110,Andria
111,Annan Athletic
112,Anorthosis
113,Antalyaspor
114,Anyang LG Cheeta
115,Anzhi Makhachkala
116,Aparecida
117,Apol. Limassol
118,Arezzo
119,Argentinos Jrs.
120,Aris Saloniki
121,Arm. Bielefeld
122,Arminia Bielefeld
123,Arsenal FC
124,Arsenal Kyiv
125,Arsenal Tula
126,Artmedia Brat.
127,Arzanese
128,Asante Kotoko
129,Aschaffenburg
130,Ascoli Calcio 1898
131,Association Troyes Aube Champagne
132,Assyriska FF
133,Asteras Tripoli
134,Aston Villa
135,Atalanta BC
136,Athletic Bilbao
137,Athletico-PR
138,Atl. Madrid B
139,Atl. Nacional
140,Atlanta United
141,Atlantas
142,Atlas
143,Atletico Roma
144,Atlético Colombia
145,Atlético Huila
146,Atlético Madrid
147,Atlético-MG
148,Atlético-PR
149,Atromitos Athen
150,Audax Italiano
151,Austria Kärnten
152,Austria Vienna
153,Avangard Kursk
154,Avaí FC
155,Avellino
156,Aversa Norm.
157,B. Banja Luka
158,B. Jerusalem
159,B. Podgorica
160,B.93
161,B68 Toftir
162,BATE Borisov
163,BJ Guoan
164,BK Frem
165,BSC Young Boys
166,Babelsberg 03
167,Baladeya
168,Baltika Kaliningrad
169,Banik Ostrava
170,Banska Bystrica
171,Barcelona SC
172,Barnet
173,Barnsley FC
174,Barra FC
175,Barry Town
176,Barton Rovers
177,Barueri
178,Basaksehir
179,Bay. Uerdingen
180,Bayer 04 Leverkusen
181,Bayer 05 Uerdingen
182,Bayern Munich
183,Belenenses SAD
184,Belgrano
185,Bellm. Hiratsuka
186,Belvedere FC
187,Benevento Calcio
188,Berekum Arsenal
189,Besiktas
190,Bihor Oradea
191,Birmingham City
192,Blackburn Rovers
193,Blackpool FC
194,Bnei Yehuda
195,Boavista FC
196,Boca Juniors
197,Bodø/Glimt
198,Bohemians
199,Bohemians 1905
200,Bologna FC 1909
201,Bolton Wanderers
202,Borac Cacak
203,Boreham Wood
204,Borussia Dortmund
205,Borussia Mönchengladbach
206,Boston River
207,Botafogo
208,Botev Plovdiv
209,Bourg-en-Bresse
210,Bradford City
211,Bragantino
212,Brasa
213,Brasiliense-DF
214,Bray Wanderers
215,Brentford FC
216,Brescia Calcio
217,Brighton & Hove Albion
218,Brisbane Roar
219,Bristol City
220,Bristol Rovers
221,Brommapojkarna
222,Bryne FK
223,Bröndby IF
224,Buildcon FC
225,Bunyodkor
226,Burgos CF
227,Buriram Utd.
228,Burnley FC
229,Bursaspor
230,Burton Albion
231,Bury
232,Bury Town
233,Busan I'Cons
