node,club_involved_name,league_name
332,Siarka T.,Other
333,Roda JC Kerkrade,Eredivisie
334,FC Internazionale,Serie A
335,Pogon Szczecin,Other
336,VfB Leipzig,1 Bundesliga
337,Sevilla FC,Primera Division
338,Real Madrid,Primera Division
339,Vasco da Gama,Brazil
340,Bragantino,Brazil
341,Karlsruher SC,1 Bundesliga
342,Bayer 04 Leverkusen,1 Bundesliga
343,Borussia Dortmund,1 Bundesliga
344,Bayern Munich,1 Bundesliga
345,1.FC Nuremberg,1 Bundesliga
346,CSKA Sofia,Other
347,SG Dynamo Dresden,1 Bundesliga
348,Sport. Cristal,Other
349,Stuttg. Kickers,Other
350,A. Aachen II,Other
351,Bröndby IF,Other
352,Sigma Olomouc,Other
353,Juventus FC,Serie A
354,Anorthosis,Other
355,Twente FC,Other
356,FC Zwolle,Other
357,Ajax Amsterdam,Eredivisie
358,Sparta R.,Other
359,Cambuur L.,Other
360,De Graafschap Doetinchem,Eredivisie
361,Hajduk Split,Croatia
362,Real Zaragoza,Primera Division
363,SBV Excelsior Rotterdam,Eredivisie
364,MYPA,Other
365,Willem II Tilburg,Eredivisie
366,JS Kabylie,Other
367,Jagiellonia,Polonia
368,Manchester City,Premier League
369,AS Monaco,Ligue 1
370,AS Cannes,Ligue 1
371,MSV Duisburg,1 Bundesliga
372,FC 08 Homburg,Other
373,Hamburger SV,1 Bundesliga
374,Rapid Vienna,Austria
375,FC Wacker,Austria
376,Boavista FC,Liga Nos
377,Manchester United,Premier League
378,Aston Villa,Premier League
379,Leicester City,Premier League
380,Southampton FC,Premier League
381,Feyenoord Rotterdam,Eredivisie
382,Red Star,Serbia
383,Foggia Calcio,Other
384,SS Lazio,Serie A
385,VfB Stuttgart,1 Bundesliga
386,Liverpool FC,Premier League
387,Arsenal FC,Premier League
388,AJ Auxerre,Ligue 1
389,Charlton Athletic,Premier League
390,Morton,Scotland
391,Luton Town,Premier League
392,Chelsea FC,Premier League
393,Blackburn Rovers,Premier League
394,Queens Park Rangers,Premier League
395,Preston NE,Other
396,Swindon Town,Premier League
397,Bradford City,Premier League
398,Swansea City,Premier League
399,Cambridge Utd.,Other
400,Portadown,Other
401,Crystal Palace,Premier League
402,Olympique Marseille,Ligue 1
403,Brentford FC,Premier League
404,Leyton Orient,Other
405,Derby County,Premier League
406,Wigan Athletic,Premier League
407,RSC Anderlecht,Belgium
408,Brescia Calcio,Serie A
409,Nottm Forest,Other
410,Torino Calcio,Serie A
411,Tottenham Hotspur,Premier League
412,US Cremonese,Serie A
413,Milan AC,Serie A
414,UC Sampdoria,Serie A
415,AS Bari,Serie A
416,Coventry City,Premier League
417,Everton FC,Premier League
418,CSKA Moscow,Premier Liga
419,Newcastle United,Premier League
420,Birmingham City,Premier League
421,Leeds United,Premier League
422,Halesowen,Other
423,Start,Norway
424,Portsmouth FC,Premier League
425,Middlesbrough FC,Premier League
426,Norwich City,Premier League
427,Malmö FF,Sweden
428,Crewe Alexandra,Premier League
429,Eastwood Town,Other
430,Watford FC,Premier League
431,Storm,Other
432,Huddersfield Town,Premier League
433,Lillestrøm SK,Norway
434,Bristol Rovers,Other
435,Southend United,Premier League
