node,club_involved_name,league_name
390,FC Barcelona,Primera Division
391,Hajduk Split,Croatia
392,NK Zagreb,Croatia
393,Valencia CF,Primera Division
394,CA Osasuna,Primera Division
395,Real Madrid,Primera Division
396,Athletic Bilbao,Primera Division
397,Roda JC Kerkrade,Eredivisie
398,CD Numancia,Primera Division
399,FC Internazionale,Serie A
400,VfB Stuttgart,1 Bundesliga
401,Hertha BSC,1 Bundesliga
402,FC Hansa Rostock,1 Bundesliga
403,UD Las Palmas,Primera Division
404,Dynamo Moscow,Premier Liga
405,Aalborg BK,Denmark
406,Bursaspor,Turkey
407,VfB Leipzig,1 Bundesliga
408,SV Werder Bremen,1 Bundesliga
409,Defensor,Uruguay
410,RCD Espanyol Barcelona,Primera Division
411,Real Valladolid CF,Primera Division
412,Sevilla FC,Primera Division
413,Norrköping,Sweden
414,Real Sociedad,Primera Division
415,RCD Mallorca,Primera Division
416,Red Star,Serbia
417,Olympique Lyon,Ligue 1
418,Vasco da Gama,Brazil
419,Bragantino,Brazil
420,SC Freiburg,1 Bundesliga
421,1.FC Kaiserslautern,1 Bundesliga
422,Bayern Munich,1 Bundesliga
423,FC Augsburg,1 Bundesliga
424,Karlsruher SC,1 Bundesliga
425,Bayer 04 Leverkusen,1 Bundesliga
426,Borussia Dortmund,1 Bundesliga
427,FC Luzern,Switzerland
428,1.FC Nuremberg,1 Bundesliga
429,Lausanne-Sport,Switzerland
430,Racing Club,Argentina
431,SG Dynamo Dresden,1 Bundesliga
432,Lyngby BK,Denmark
433,FC Nantes,Ligue 1
434,FC Schalke 04,1 Bundesliga
435,Juventus FC,Serie A
436,De Graafschap Doetinchem,Eredivisie
437,NAC Breda,Eredivisie
438,Jagiellonia,Polonia
439,Fortuna Sittard,Eredivisie
440,Ajax Amsterdam,Eredivisie
441,Vitesse Arnhem,Eredivisie
442,PSV Eindhoven,Eredivisie
443,FC Emmen,Eredivisie
444,VVV-Venlo,Eredivisie
445,Atlético Madrid,Primera Division
446,CD Tenerife,Primera Division
447,Cádiz CF,Primera Division
448,Real Zaragoza,Primera Division
449,NK Osijek,Croatia
450,Lillestrøm SK,Norway
451,AC Fiorentina,Serie A
452,Boca Juniors,Argentina
453,CP Mérida (diss.),Primera Division
454,Real Murcia CF,Primera Division
455,Real Oviedo,Primera Division
456,UD Salamanca (liq.),Primera Division
457,FC Famalicão,Liga Nos
458,Española,Uruguay
459,Dynamo Kyiv,Ukraine
460,Galatasaray,Turkey
461,Willem II Tilburg,Eredivisie
462,SBV Excelsior Rotterdam,Eredivisie
463,Aberdeen FC,Scotland
464,KV Mechelen,Belgium
465,RKC Waalwijk,Eredivisie
466,Heracles Almelo,Eredivisie
467,FC Istres Ouest Provence,Ligue 1
468,AS Nancy-Lorraine,Ligue 1
